100316D	0.014
110328A	0.35
140622A	0.959
90530	1.266
100728B	2.8
140428A	4.7
120521C	6
120422A	0.28
111225A	0.297
130427A	0.34 (Gemini-North: absorption)|0.338 (NOT: absorption)|0.3399 (VLT: absorption)|0.340 (LBT: absorption)| 0.3399 (William Herschel: emission, host)| 0.3393 (BTA)
130925A	0.347 (VLT/UVES: emission)|0.35 (VLT/X-shooter: emission)
130603B	0.356 (GTC: absorption & emission)|0.356 (Magellan: emission, host)|0.356 (Gemini-South: emission)|0.3564 (VLT: absorption & emission)
120714B	0.3984 (VLT: absorption)
130831A	0.4791 (Gemini-North: absorption)
91127	0.490 (Gemini-North: emission)|0.49034 (VLT: emission)
90618	0.54 (Lick: absorption)|0.54 (SAO RAS: emission)
100621A	0.542 (VLT: emission)
90424	0.544 (Gemini-South: absorption)|0.544 (WHT)
101219B	0.5519 (ESO-VLT: tentative redshift)
140710A	0.558 (Gemini-North: emission, host)
130215A	0.597 (Lick Shane: absorption)|0.58 (GTC: derived)
131103A	0.599 (VLT: emission & absorption)
100418A	0.6235 (VLT: absorption)|0.624 (Gemini North: absorption)
111209A	0.677 (arXiv:1302.2352v1)|0.677 (VLT: absorption)
090814A	0.696 < z < 2.2 (VLT: absorption)
111228A	0.714 (MMT: absorption)|0.716 (Gemini-South: absorption)| 0.7156 (TNG: absorption)|0.713 (NOT: absorption)|0.71627 (VLT: absorption)
131004A	0.717 (Magellan: emission)|0.71 (TNG: emission)
101219A	0.718 (Gemini-North: emission, host)
140512A	0.725 (NOT: absorption)
120729A	0.80 (Gemini-North: absorption)
100816A	0.8034 (VLT: emission and absorption)|0.8035 (Gemini-North: absorption)|0.8049 (GTC: absorption)
110715A	0.82 (VLT: absorption)
101225A	0.847 (arXiv:1302.2352v1)|0.40 (Keck I: emission)
140506A	0.889 (VLT: absorption, host)
90510	0.903 (VLT: emission)
120722A	0.9586 (VLT: emission from host)
120907A	0.970 (OSIRIS/GTC: absorption)
91018	0.971 (Magellan Clay: absorption)|0.9710 (VLT: absorption)
140318A	1.02 (WHT: emission)
121211A	1.023 (Keck I)
110726A	1.036 < z < 2.7 (Gemini-North)
130604A	1.06 (Gemini-North: emission)
091208B	1.063 (Gemini North: absorption)|1.0633 (Keck I: absorption)
91024	1.092 (Gemini-North)|1.091 (Keck I: absorption)
130701A	1.155 (VLT: absorption)
100316B	1.180 (VLT: absorption)
140213A	1.2076 (VLT: absorption)
130418A	1.218 (GTC)|1.217 (VLT: absorption)
130907A	1.238 (NOT: absorption)
090926B	1.24 (VLT: emission & absorption)
100724A	1.288 (VLT: absorption)
131030A	1.293 (NOT: absorption)|1.295 (GTC: absorption)
130420A	1.297 (GTC: absorption)
130511A	1.3033 (Gemini-North: absorption)
110808A	1.348 (VLT: emission)
90927	1.37 (VLT: absorption)
111229A	1.3805 (Gemini-South: absorption)
100615A	1.398 (VLT: emission, host)
100901A	1.408 (Gemini-North: absorption, host redshift)
140301A	1.416 (VLT: absorption)
100814A	1.44 (Magellan: absorption)
90407	1.4485 (TOUGH: emission)
110213A	1.46 (Bok: absorption)
120724A	1.48 (Gemini-North: absorption, tentative)
