NAME,MSINI,A,PER,ECC,OM,T0,K,MSTAR
,mjupiter,au,day,,deg,jd,m/s,msun
WASP-14 b,7.65457,0.0367693,2.243752,0.091,253.371,2454462.3304,993,1.31
Kepler-50 b,,0.0825598,7.8125124,,,,,1.23
Kepler-20 b,0.0266149,0.0453704,3.6961219,0,79.2157,2454966.34,3.72,0.912
HAT-P-27 b,0.615135,0.0399488,3.039577,0,90,2455407.9088,91.2,0.92
HD 116029 b,2.1395,1.74607,670,0,397,2455220,36.6,1.58
HD 219828 b,0.0622185,0.0515012,3.8334999,0,0,2453898.629,7,1.24
Kepler-11 c,0.04247,0.106504,13.02502,0,90,2454971.1748,,0.95
HD 1237 b,3.3748,0.494668,133.71001,0.511,290.7,2451545.86,167,0.9
WASP-21 b,0.300201,0.0521087,4.322482,0,90,2454743.0419,37.2,1.01
HD 4308 b,0.0477376,0.119192,15.56,0,359,2453314.7,4.07,0.933
WASP-25 b,0.578118,0.0473714,3.764825,0,90,2455274.99649,75.5,1
HD 24040 b,4.02189,4.92406,3668,0.04,154,2454308,47.4,1.18
HD 200964 b,1.83965,1.59682,613.8,0.04,288,2454900,34.5,1.44
HD 147018 b,2.12711,0.238855,44.236,0.4686,335.97,2454459.49,145.33,0.927
HD 218566 b,0.212872,0.687282,225.7,0.3,36,2450360,8.3,0.85
HD 45364 b,0.187149,0.68156,226.93,0.1684,162.58,2453535.817118141,7.22,0.82
HD 141937 b,9.4752,1.50087,653.21997,0.41,187.72,2451847.38,234.5,1.048
HD 156668 b,0.0130582,0.0499846,4.6455,0,90,2454718.57,1.89,0.772
MOA-2009-BLG-387L b,,1.76808,1970,,,,,0.19
Kepler-32 f,,0.0130732,0.74296,0,90,2454965.54,,0.54
GJ 649 b,0.325341,1.13179,598.3,0.3,352,2452876,12.4,0.54
HD 132406 b,5.60495,1.98227,974,0.34,214,2453474,115,1.09
HD 38529 c,13.0799,3.71859,2146.0503,0.355094,17.9023,2452255.921,169.033,1.477
Kepler-62 b,,0.0552794,5.714932,0.0707107,278.13,2455001.21,,0.69
Kepler-49 c,,0.07889,10.9129343,,,,,0.55
Kepler-55 c,,0.202122,42.1516418,,,,,0.62
WASP-19 b,1.11405,0.0163152,0.78884,0.0046,3,2455168.771,257,0.93
Kepler-26 b,0,0.0902469,12.282356,0,90,2454978.8321,,0.65
HD 126614 A b,0.385706,2.36847,1244,0.41,243,2453808,7.3,1.145
HD 177830 b,1.53223,1.227,410.1,0.096,189,2450254,32.64,1.46388
HD 38283 b,0.338157,1.02382,363.2,0.41,219,2450802.6,10,1.085
HD 217786 b,13.1868,2.3791,1319,0.4,100,2456053,261,1.02
HD 32518 b,3.34549,0.595162,157.54,0.01,306.11,2452950.29,115.83,1.13
WASP-18 b,10.0636,0.0201401,0.9414529,0.00848,267.9,2454664.429,1818.3,1.22
CoRoT-6 b,2.95325,0.0854177,8.886593,0,90,2454595.6144,280,1.05
HD 73267 b,3.06257,2.19849,1260,0.256,229.1,2451821.7,64.29,0.89
HD 147513 b,1.17965,1.30958,528.40002,0.26,282,2451123,29.3,1.072
HD 72659 b,3.1741,4.75375,3658,0.22,260.7,2455351,41,1.068
BD +14 4559 b,1.51929,0.775866,268.94,0.29,87.64,2453293.71,55.21,0.86
HD 197037 b,0.807324,2.07477,1035.7,0.22,298,2451353.1,15.5,1.11
HD 70642 b,1.90944,3.18072,2068,0.034,205,2451350,30.4,1.002
KELT-2 A b,1.52019,0.0549707,4.1137912,0,90,2455974.60335,161.1,1.308
Kepler-10 b,0.0142142,0.0167573,0.837495,0,90,2454964.57375,3.3,0.895
HD 40307 c,0.0211468,0.0800702,9.62,0,0,2454551.53,2.47,0.74
HD 142 b,1.3057,1.04292,350.3,0.26,303,2451963,33.9,1.232
WASP-10 b,3.19034,0.0384536,3.0927616,0.0507142,153.283,2454664.537,520.1,0.79
WASP-17 b,0.507667,0.0499354,3.735433,0,90,2454559.18096,59.2,1.19
HAT-P-17 b,0.530106,0.0882385,10.338523,0.346,201,2454792.87,58.4,0.857
HD 102329 b,5.86632,2.07041,778.1,0.211,178,2455096,84.8,1.95
HD 159868 b,2.1068,2.24636,1178.4,0.01,350,2453435,38.3,1.087
HD 114783 b,1.10505,1.15987,493.7,0.144,86,2453806,31.9,0.853
GJ 581 e,0.00613456,0.028459,3.14945,0.32,236,2454750.31,1.96,0.31
