NAME,MSINI,A,PER,ECC,OM,T0,K,MSTAR
epsilon Ret b,1.54759,1.2667,428.1,0.06,216,2450836,32.2,1.478
GJ 674 b,0.034879,0.0386657,4.6938,0.2,143,2453780.085,8.7,0.35
Kepler-57 c,,0.0942979,11.6092567,,,,,0.83
HD 168443 c,17.3857,2.85281,1749.83,0.2113,64.87,2455599.9,297.7,0.995
WASP-57 b,0.675475,0.0386362,2.838971,0,90,2455717.87811,100,0.954
HAT-P-37 b,1.1719,0.0379273,2.79736,0.058,164,2455642.67,177.7,0.929
HD 81040 b,6.87654,1.9372,1001.7,0.526,81.3,2452504,168,0.96
HD 208527 b,10.014,2.099,875.5,0.08,278,2450745.3,155.4,1.6
Kepler-28 b,0,0.0581375,5.91213,0,90,2454975.6227,,0.75
HAT-P-32 b,0.950561,0.0344203,2.150009,0.163,52,2454415.982,136.1,1.176
HD 95089 b,1.23585,1.44968,507,0.157,317,2454983,23.5,1.58
XO-3 b,13.0547,0.0477112,3.1915426,0.2884,346.3,2454024.7278,1488,1.41
HD 114729 b,0.944758,2.10235,1114,0.167,93,2450520,18.8,0.998
HD 100655 b,1.67155,0.764579,157.57,0.085,132,2453072.4,35.2,2.4
HD 142415 b,1.66194,1.06061,386.29999,0.5,255,2451519,51.3,1.065
CoRoT-9 b,0.843564,0.406991,95.2738,0.11,37,2454591.853,38,0.99
HD 114386 b,1.3637,1.72685,937.70001,0.23,273,2450454,34.3,0.78
HD 103197 b,0.0982431,0.249018,47.84,0,0,2454826,5.9,0.9
7 CMa b,2.64541,1.87994,763,0.14,12,2455520,44.9,1.52
WASP-16 b,0.839364,0.0417858,3.1186009,0,90,2454584.42878,116.7,1
HD 152581 b,1.51375,1.48938,689,0,321,2455320,36.6,0.927
PH-1 b,,0.629412,138.506,0.0539,348,2454970,,1.734
Kepler-37 d,,0.21202,39.792187,0.102489,107.021,2455006.722,,0.803
HD 125595 b,0.0416764,0.0809437,9.6737,0,90,2454435.23,4.79,0.756
WASP-79 b,0.884655,0.0534741,3.6623817,0,90,2455545.23479,88.2,1.52
HIP 57274 c,0.410096,0.177758,32.03,0.05,356.2,2455785.208,32.4,0.73
Kepler-30 d,0,0.534239,143.343,0.022,197,2455171.827,,0.99
HD 93083 b,0.368176,0.476549,143.58,0.14,333.5,2453181.7,18.3,0.7
HD 31253 b,0.501427,1.26054,466,0.3,244,2450660,12,1.23
HD 89744 b,8.47248,0.918162,256.78,0.673,195.1,2451505.5,271.6,1.558
PSR B1257+12 d,,0.416595,98.2114,0.0252,108.3,2449766.5,,
HD 183263 c,3.47646,4.29488,3066,0.23873,344.598,2451970.94,46.32,1.121
WASP-42 b,0.496749,0.0547344,4.9816877,0,90,2455650.56723,64.3,0.881
Kepler-48 b,,0.0534031,4.7779803,,,,,0.89
HD 192310 c,0.0736073,1.18358,525.8,0.32,110,2455311.915,2.27,0.8
HD 1690 b,6.1908,1.32643,533,0.64,122,2454449,190,1.09
HAT-P-41 b,0.799609,0.0425775,2.694047,0,90,2454983.86167,92.5,1.418
Kepler-42 c,,0.00585017,0.45328509,,,,,0.13
HD 28185 b,5.79721,1.02341,379,0.05,44,2454230.5,163.5,0.99
HD 23127 b,1.40487,2.31864,1214,0.44,190,2450229,27.5,1.127
HD 154672 b,5.00638,0.598618,163.94,0.61,265,2453045.3,225,1.06
Kepler-52 b,,0.0630945,7.8773565,,,,,0.54
OGLE-TR-10 b,0.626643,0.0434855,3.101278,0,90,2452070.222,80,1.14
gamma Leo A b,8.81783,1.19453,428.5,0.144,206.7,2451236,208.3,1.23
HAT-P-2 b,8.85612,0.0679088,5.6334729,0.5171,185.22,2454388.0774003,983.9,1.308
HAT-P-24 b,0.685652,0.0465021,3.35524,0.067,197,2455214.549,83,1.191
HD 11506 b,4.7347,2.60488,1405,0.3,262,2453603,80,1.19
tau Boo b,4.16707,0.0480039,3.312433,0.023,90,2455652.108,466.4,1.341
HD 34445 b,0.790506,2.06642,1049,0.27,104,2453781,15.7,1.069
OGLE-2007-BLG-368L b,,,,,,,,0.64
HD 125612 b,3.06805,1.3728,559.40487,0.45899,41.4902,2454894.84807,79.793,1.1
Kepler-20 f,0,0.137859,19.57706,0,,2454968.219,,0.912
42 Dra b,3.73203,1.16693,479.1,0.38,218.7,2452757.4,110.5,0.92
Kepler-53 b,,0.136705,18.6489525,,,,,0.98
Kepler-11 b,0.01352,0.0910985,10.30375,0,90,2454971.5052,,0.95
HD 153950 b,2.74209,1.28031,499.4,0.34,308.2,2454502,69.15,1.12
Kepler-69 b,,0.104565,13.722341,0.16,,2454964.681,,0.81
Kepler-27 c,0,0.168484,31.3309,0,90,2454986.4274,,0.65
HD 16141 b,0.249652,0.355656,75.523,0.252,42,2450338,11.99,1.052
Kepler-7 b,0.436942,0.0622369,4.885525,0,90,2454967.27571,42.9,1.347
WASP-24 b,1.08429,0.0365155,2.3412127,0,90,2455081.37941,148.2,1.184
HAT-P-29 b,0.778006,0.0666842,5.723186,0.095,169,2455198.664,78.3,1.207
Kepler-38 b,,0.429659,105.595,0,,,,0.949
HD 204313 d,1.60642,3.94498,2831.6,0.28,247,2446376.9,23.7,1.02
HD 50554 b,4.39876,2.26097,1224,0.444,7.4,2450646,91.5,1.025
HD 11964 c,0.0783481,0.228474,37.910254,0.301733,101.941,2454366.648,4.64578,1.107
HD 13189 b,14.7715,1.80272,471.6,0.27,160.7,2452327.9,173.3,3.5
HD 60532 b,1.0348,0.759258,201.3,0.28,351.9,2453987,29.3,1.44
HAT-P-11 b,0.0825071,0.0525443,4.8878162,0.198,355.2,2454609.800713,11.6,0.81
HD 104067 b,0.185935,0.264333,55.806,0,90,2454043.15,11.56,0.791
HD 20794 b,0.00848679,0.120738,18.315,0,0,2454774.806,0.83,0.7
HD 195019 b,3.57989,0.136688,18.20132,0.0138,231,2451015.5,271.5,1.025
GJ 832 b,0.644279,3.4032,3416,0.12,304,2451211,14.9,0.45
GJ 667 C b,0.0171709,0.0504235,7.199,0.09,356,2454443,3.8,0.33
CoRoT-19 b,1.10724,0.0516604,3.89713,0.047,,,126,1.21
alpha Ari b,1.85989,1.17579,380,0.25,89.16,2451213.52,41.1,1.5
61 Vir b,0.016075,0.05006,4.215,0.12,105,2453367.2224322916,2.12,0.942
HD 210702 b,1.96498,1.20333,354.29,0.036,282.3,2454142.6,37.45,1.85
HAT-P-4 b,0.671507,0.0443853,3.056536,0,90,2454245.8154,81.1,1.248
HAT-P-21 b,4.07346,0.0494951,4.124481,0.228,309,2454995.014,548.3,0.947
alpha Cen B b,0.00354639,0.0418506,3.2357,0,0,2455280.17,0.51,0.934
mu Ara b,1.74552,1.5273,643.25,0.128,22,2452365.6,37.78,1.147
WASP-45 b,1.00188,0.0405459,3.1260876,0,90,2455441.26925,148.3,0.909
HD 73526 c,2.4209,1.02831,377.8,0.14,13,2451126.0757555556,68,1.014
Kepler-17 b,2.47651,0.0267923,1.4857108,0,90,2455185.678035,399,1.16
14 Her b,5.21486,2.93362,1773.4,0.369,22.6,2451372.7,90,1.066
HAT-P-33 b,0.76507,0.0502683,3.474474,0.148,96,2455100.545,82.8,1.403
OGLE-05-169L b,,3.41991,3300,,,,,0.49
HIP 79431 b,2.11299,0.358346,111.7,0.29,287.4,2454980.3,149.5,0.49
HD 171238 b,2.60901,2.54268,1523,0.4,47,2455062,52.2,0.943
HIP 5158 b,1.42633,0.887919,345.72,0.52,252,2454580.49,57,0.78
WASP-46 b,2.08495,0.0244921,1.43037,0,90,2455392.31553,387,0.956
GJ 849 b,0.830886,2.35317,1882,0.04,355,2451488,22,0.49
HAT-P-1 b,0.531143,0.0553326,4.4652934,0,90,2454363.94656,60.3,1.133
OGLE2-TR-L9 b,4.50213,0.0413279,2.4855335,0,90,2454492.79765,510,1.52
Kepler-54 b,,0.0626016,8.0109434,,,,,0.51
WASP-22 b,0.559004,0.0468682,3.53269,0.023,27,2454779.641,70,1.1
PSR B1257+12 b,,0.168494,25.262,0,90,2449765.1,,
WASP-2 b,0.904818,0.0312729,2.1522254,0,90,2453991.51428,155,0.88
HD 164922 b,0.357927,2.10091,1155,0.05,195,2451100,7.3,0.927
Kepler-30 c,0,0.300013,60.3231,0.0111,311,2455334.736,,0.99
tau Gru b,1.2147,2.51797,1311,0.07,100,2450870,19.6,1.238
WASP-34 b,0.581308,0.0520747,4.3176782,0.038,319.8,2454646.032649,72.1,1.01
HD 96063 b,0.920067,0.99927,361.1,0,90,2455260,25.9,1.02
HAT-P-22 b,2.14822,0.0414094,3.21222,0.016,156,2454930.794,313.3,0.916
CoRoT-7 b,0.0155646,0.0171897,0.853585,0,90,2454398.0767,3.5,0.93
HD 5608 b,1.40789,1.94034,792.6,0.19,269,2452327,23.5,1.55
HATS-1 b,1.85957,0.0444708,3.446459,0.12,123.417,2455241.542,254.1,0.986
HD 80606 b,3.89024,0.447343,111.4367,0.934,300.6,2454424.857,472,0.958
Kepler-45 b,0.510798,0.0298817,2.455239,0.11,230,2455001.441,110,0.59
Kepler-68 b,0.0238819,0.061775,5.398763,0,90,2455006.85729,2.63,1.079
WASP-78 b,0.877779,0.0361391,2.17517656,0,90,2455882.35904,113.8,1.33
HD 86264 b,6.62738,2.84117,1475,0.7,306,2455172,132,1.4
HD 82943 c,1.98927,0.742817,219.5,0.359,127,2450969.8676649304,66,1.133
GJ 581 d,0.0191104,0.217717,66.64,0.25,356,2454805.7,2.16,0.31
iota Hor b,2.04683,0.92376,302.8,0.14,346,2451227,57.1,1.145
HD 37124 d,0.68665,2.80658,1862,0.16,0,2448558,12.8,0.85
HD 192263 b,0.639382,0.152945,24.3556,0.055,200,2450994.3,51.9,0.804
HD 204313 b,3.50088,3.07131,1920.1,0.23,298,2452111.6,57,1.045
Kepler-53 c,,0.221868,38.5583038,,,,,0.98
TrES-3 b,1.87299,0.0227178,1.30618581,0,90,2454185.9101,369,0.915
HIP 14810 b,3.87441,0.0692271,6.673859,0.142483,159.48,2453988.253,424.329,0.99
Kepler-10 c,0,0.239651,45.29485,,90,2454971.6861,,0.895
HD 90156 b,0.0565295,0.249855,49.77,0.31,113,2454775.1,3.69,0.84
Pr 211 b,1.84394,0.0320419,2.1451,0,90,2456013.9889,299.9,0.952
Kepler-6 b,0.668332,0.0456089,3.234723,0,90,2454954.48636,80.9,1.209
24 Sex c,1.3623,2.1229,910,0.412,172,2454941,23.5,1.54
HD 60532 c,2.46312,1.57999,604,0.02,151,2453732,46.4,1.44
HD 68988 b,1.79992,0.0692771,6.27711,0.1249,31.4,2451548.84,184.7,1.124
HAT-P-26 b,0.0586313,0.0478684,4.234516,0.124,54,2455304.319,8.5,0.816
Kepler-20 e,0,0.063351,6.098493,0,,2454968.9336,,0.912
HD 149143 b,1.32811,0.0530508,4.072,0.016,0,2453483.9,149.6,1.2
Kepler-62 d,,0.119499,18.16406,0.0948683,108.435,2455014.579,,0.69
HD 79498 b,1.34632,3.13296,1966.1,0.59,221,2453210.9,26,1.06
HD 181433 c,0.640416,1.75604,962,0.28,21.4,2453235,16.2,0.78
70 Vir b,7.46144,0.483601,116.6884,0.4007,358.71,2447239.82,316.3,1.101
HD 102365 b,0.0509774,0.463328,122.1,0.34,105,2450129,2.4,0.89
BD -08 2823 b,0.045941,0.0558236,5.6,0.15,30,2454637.7,6.5,0.74
CoRoT-11 b,2.33146,0.0440549,2.99433,0,90,2454597.679,280,1.27
GJ 436 b,0.0725512,0.0287188,2.64385,0.16,351,2451551.716,18.34,0.452
HD 41004 B b,18.4135,0.0176759,1.3283,0.081,178.5,2452434.88,6114,0.4
WASP-37 b,1.79324,0.0446312,3.577469,0,90,2455338.6188,250.7,0.925
HD 6718 b,1.5591,3.55427,2496,0.1,286,2454357,24.1,0.96
HD 33636 b,9.26951,3.26519,2127.7,0.4805,339.5,2451205.8,164.2,1.017
HAT-P-40 b,0.619927,0.060845,4.457243,0,90,2455813.17584,58.1,1.512
HD 240237 b,5.31949,1.91887,745.7,0.4,108.1,2454292,91.5,1.69
rho CrB b,1.06409,0.225692,39.8449,0.057,303,2450563.2,64.9,0.965
HD 11977 b,6.51995,1.93643,711,0.4,351.5,2451420,105,1.91
HD 73534 b,1.10389,3.06829,1770,0.074,12,2456450,16.2,1.229
Kepler-50 c,,0.0932375,9.3761368,,,,,1.23
HD 164604 b,2.6885,1.30299,606.4,0.24,51,2452674,77,0.8
OGLE-05-071L b,,3.54863,3600,,,,,0.46
OGLE235-MOA53 b,,,,,,,,0.63
HD 37124 c,0.648109,1.70993,885.5,0.125,53,2449534,15.4,0.85
HD 217107 c,2.61546,5.33414,4270,0.517222,198.598,2451106.321,35.7,1.108
HD 74156 b,1.77342,0.291535,51.638,0.63,174,2450793.3,108,1.238
Kepler-43 b,3.21573,0.0449294,3.024095,0,90,2454965.4159,375,1.32
WASP-13 b,0.477697,0.0537035,4.353011,0,90,2455575.5136,56.125,1.09
HD 13931 b,1.88123,5.14931,4218,0.02,290,2454494,23.3,1.022
HAT-P-18 b,0.197162,0.0559503,5.508023,0.084,120,2454715.411,27.1,0.77
HD 155358 c,0.807031,1.00082,391.9,0.16,180,2455345.4,24.9,0.87
WASP-43 b,1.7613,0.0142363,0.813475,0,90,2455528.86774,550.3,0.58
Kepler-39 b,18.1767,0.155007,21.0874,0.121,98.9,2454973.006,1251,1.1
14 And b,4.68383,0.823151,185.84,0,0,2452861.4,100,2.15
Kepler-29 b,0,0.0928723,10.3376,0,90,2454982.75,,1
Kepler-24 b,0,0.0800144,8.14561,0,90,2454973.5689,,1.03
81 Cet b,5.34087,2.53876,952.7,0.206,175,2452486,62.8,2.4
CoRoT-3 b,21.799,0.0573788,4.2568,0,90,2454283.1383,2194,1.37
HAT-P-38 b,0.267451,0.0522992,4.640382,0.067,240,2455860.925,35.4,0.886
Kepler-18 d,0.0515706,0.117171,14.85888,0.000521567,278.379,2455169.523,,0.972
mu Ara e,0.543322,0.93961,310.54999,0.0666,189.6,2452708.7,14.91,1.147
HD 136118 b,11.6809,2.33328,1187.3,0.338,319.9,2452999.5,210.7,1.191
HD 6434 b,0.397195,0.142061,21.997999,0.17,156,2451490.8,34.2,0.79
HD 5319 b,1.93773,1.74656,674.59998,0.12,76.3,2453067.7,33.6,1.56
HD 231701 b,1.08667,0.555583,141.60001,0.1,46,2453180,39,1.14
CoRoT-18 b,3.48002,0.0295483,1.9000693,0.04,,2455321.72412,590,0.95
HD 75898 b,2.51504,1.18906,418.20001,0.1,263.7,2452907,58.2,1.28
MOA-2008-BLG-310L b,,,,,,,,0.67
GJ 1214 b,0.0203507,0.0143253,1.58040482,0,90,2454980.7487955,12.2,0.157
16 Cyg B b,1.63997,1.66027,798.5,0.681,85.8,2446549.1,50.5,0.956
HAT-P-25 b,0.566683,0.0465813,3.652836,0.032,271,2455175.03,74.3,1.01
HD 213240 b,4.53249,1.88529,882.7,0.421,201,2451499,96.6,1.143
HD 12661 b,2.3408,0.838172,262.70861,0.376834,295.978,2454152.755,73.5609,1.136
Kepler-9 c,0.16858,0.22473,38.90861,0.132575,101.31,2455106.7,10.2,1
HD 74156 c,8.24664,3.8997,2520,0.38,268,2448416,115,1.238
HD 20794 c,0.00743617,0.203628,40.114,0,0,2454766.756,0.56,0.7
Kepler-31 c,0,0.254502,42.6318,0,90,2454974.191,,1.21
HD 38801 b,10.7604,1.70768,696.3,0,0,2453966,200,1.36
HD 132563 B b,1.49247,2.62431,1544,0.22,158,2452593,26.7,1.01
GJ 667 C c,0.0134408,0.125092,28.13,0.34,166,2454462,2,0.33
HD 207832 c,0.730294,2.1118,1155.7,0.27,121.6,2453191.07306,15.3,0.94
Kepler-44 b,1.01508,0.0454854,3.24674,0,90,2454966.3781,124,1.19
HD 5891 b,6.77867,0.724366,177.11,0.066,351,2455432,178.5,1.61
HD 173416 b,2.71808,1.16272,323.6,0.21,254,2453465.8,51.8,2
HD 76700 b,0.232142,0.0511051,3.97097,0.095,30,2451213.32,27.6,1.129
HD 39091 b,10.088,3.34651,2151,0.6405,330.24,2447820,196.4,1.071
HD 7449 b,1.3131,2.33982,1275,0.82,339,2455298,41.59,1.05
HD 149026 b,0.359837,0.0431325,2.8758911,0,90,2453317.838,43.3,1.294
OGLE-2006-BLG-109L c,0.239279,4.8168,5405.7,0.27,,,4.2,0.51
Qatar-2 b,2.483,0.0215077,1.3371182,0,90,2455624.26679,558.7,0.74
HD 216437 b,2.16817,2.48556,1353,0.319,67.7,2450605,39,1.117
HAT-P-7 b,1.77867,0.037964,2.204737,0,90,2454954.357463,211.8,1.5
HD 49674 b,0.101571,0.0571073,4.94737,0.087,264,2451882.38,12.04,1.015
HD 82943 b,1.73352,1.183,441.2,0.219,284,2450931.409609375,43.6,1.133
WASP-38 b,2.70891,0.0758454,6.87188,0.028,337.8,2455320.093,252,1.23
HD 77338 b,0.0498139,0.0612143,5.7361,0.09,223.454,2453355.6,5.96,0.93
Kepler-29 c,0,0.109809,13.2907,0,90,2454978.471,,1
HD 220773 b,1.44975,4.94302,3724.7,0.51,259,2453866.4,20,1.16
WASP-6 b,0.521174,0.0428704,3.361006,0.054,97.4028,2454596.4903,74.3,0.93
HD 159868 c,0.73,1.00396,352.3,0.15,290,2453239,20.1,1.087
HD 137388 b,0.227816,0.88883,330,0.36,86,2455209,7.94,0.86
Kepler-52 c,,0.10281,16.3850021,,,,,0.54
HD 100777 b,1.16502,1.03378,383.70001,0.36,202.7,2453456.2,34.9,1
HAT-P-5 b,1.05391,0.0407152,2.788491,0,90,2454241.77663,138,1.157
HD 222582 b,7.63003,1.33658,572.38,0.725,319.01,2450706.7,276.3,0.965
Kepler-16 b,0.333,0.646795,228.776,0.0069,318,2455346.5,,0.6897
Kepler-32 d,,0.128069,22.7802,0,90,2454988.2,,0.54
Kepler-58 c,,0.119982,15.5741568,,,,,0.95
WASP-33 b,0,0.0255483,1.21986983,0,90,2454590.17948,0,1.495
HD 128311 b,1.4572,1.08649,454.2,0.345,63,2453835,46.5,0.828
MOA-2011-BLG-293L b,,,,,,,,0.44
HD 181433 d,0.535482,3.02208,2172,0.48,330,2452154,11.3,0.78
TrES-1 b,0.752484,0.0392516,3.030065,0,90,2453901.90372,115.2,0.878
HD 4208 b,0.807457,1.65355,828,0.052,345,2451040,19.06,0.879
Kepler-62 e,,0.426299,122.3874,0.13,292.62,2454932.038,,0.69
HD 5388 b,1.96509,1.76349,777,0.4,324,2454570,41.7,1.21
CoRoT-10 b,2.75448,0.105463,13.2406,0.53,218.9,2454990.85,301,0.89
11 UMi b,11.0873,1.53498,516.22,0.08,117.63,2452861.04,189.7,1.8
WASP-62 b,0.562022,0.0567187,4.411953,0,90,2455855.39195,60,1.25
HD 4732 c,2.36493,4.60219,2732,0.23,118,2456093,24.4,1.74
kappa CrB b,2.18571,2.85763,1300,0.125,83.1,2453899,27.3,1.84
Kepler-25 b,0,0.0708678,6.23855,0,90,2454973.5126,,1.22
HD 99492 b,0.106179,0.121908,17.0431,0.254,219,2450468.7,9.8,0.832
HD 204941 b,0.26689,2.55427,1733,0.37,228,2456015,5.94,0.74
HD 196050 b,2.8434,2.51056,1378,0.228,187,2450843,49.7,1.109
WASP-11 b,0.539752,0.0436466,3.722465,0,90,2454473.05588,82.1,0.8
HD 111232 b,6.84182,1.97489,1143,0.2,98,2451230,159.3,0.78
HD 117618 b,0.176652,0.174852,25.827,0.42,254,2450832.2,12.8,1.069
HD 180902 b,1.55713,1.37801,479,0.09,300,2454858.2914,30.7,1.52
HIP 12961 b,0.354314,0.25497,57.435,0.166,272,2454428.4,24.71,0.67
HD 63454 b,0.384566,0.0362523,2.818049,0,87.3,2455583.24,64.19,0.8
BD +48 738 b,0.922011,0.949488,392.6,0.2,358.9,2454457.2,31.9,0.74
Kepler-62 c,,0.0928559,12.4417,0.186815,254.476,2454960.666,,0.69
NGC 2423 3 b,10.6368,2.09673,714.3,0.21,18,2453213,137.6,2.4
Kepler-33 c,,0.118876,13.17562,0,90,2454976.6764,,1.291
HD 50499 b,1.74473,3.87172,2457.8717,0.253675,258.799,2451220.052,23.0219,1.28
CoRoT-14 b,7.56823,0.0269122,1.51214,0,90,2454787.6694,1230,1.13
CoRoT-4 b,0.717419,0.0903166,9.20205,0,90,2454141.36416,63,1.16
HAT-P-19 b,0.292129,0.0466409,4.008778,0.067,256,2454798.988,42,0.842
Kepler-24 c,0,0.105496,12.3318,0,90,2454970.586,,1.03
Kepler-47 c,,0.895669,303.158,0,,,,1.043
Kepler-33 f,,0.253499,41.02902,0,90,2455005.5,,1.291
HD 2039 b,5.92499,2.19755,1120,0.715,344.1,2452041,153,1.123
Kepler-36 c,0.0254888,0.128401,16.23855,0,90,2454955.9132,,1.071
XO-2 b,0.566435,0.0368367,2.615838,0,90,2454147.74902,85,0.974
Kepler-11 d,0.0191935,0.154183,22.68719,0,90,2454981.455,1.426,0.95
HD 187085 b,0.803694,2.02754,986,0.47,94,2450912,17,1.143
HD 118203 b,2.13623,0.0702997,6.1335,0.309,155.7,2453394.23,217,1.23
WASP-63 b,0.377818,0.0574592,4.37808,0,90,2455921.6527,39,1.32
Kepler-30 b,0,0.185524,29.334,0.042,329,2455237.133,,0.99
HD 175167 b,7.77836,2.40085,1290,0.54,342,2453598,161,1.102
HAT-P-16 b,4.1951,0.0413275,2.77596,0.036,214,2455025.754,531.1,1.218
TrES-4 b,0.913019,0.0509243,3.553945,0,90,2454230.9053,97.4,1.394
NGC 4349 127 b,19.8296,2.38084,677.8,0.19,61,2454114,188,3.9
GJ 676 A b,4.89701,1.81539,1056.8,0.326,85.7,2455411.9,129.3,0.71
Kepler-60 b,,0.0750769,7.1316185,,,,,1.11
HD 47186 c,0.348285,2.38704,1353.6,0.249,26,2452010,6.65,0.99
HIP 14810 d,0.5806,1.88623,950.69651,0.165251,296.832,2454345.169,12.2451,0.99
HD 142245 b,1.89038,2.77628,1299,0,234,2454760,24.8,1.69
Kepler-59 c,,0.136086,17.9801235,,,,,1.04
HD 30177 b,9.68782,3.80821,2770,0.193,34,2451437,146.8,0.951
Kepler-4 b,0.0772272,0.0455763,3.21346,0,90,2454956.6127,9.3,1.223
HD 190647 b,1.90296,2.07238,1038.1,0.18,232.5,2453868,36.4,1.1
HD 97658 b,0.0242781,0.0807747,9.494,0,90,2455375.01,2.75,0.78
Kepler-57 b,,0.0588891,5.7293196,,,,,0.83
HD 106270 b,11.0314,4.3673,2890,0.402,15.4,2454830,142.1,1.32
HD 30856 b,1.8481,2.03503,912,0.117,180,2455260,31.9,1.35
HD 48265 b,1.20645,1.59435,762,0.24,289,2452892,29,0.93
HD 89307 b,1.79148,3.26609,2166,0.2,4.9,2452346.4,28.9,0.989
HD 163607 c,2.2924,2.41789,1314,0.12,265,2455085,40.4,1.09
WASP-49 b,0.376728,0.0378972,2.7817387,0,90,2455580.59436,56.8,0.938
Kepler-37 c,,0.139784,21.301886,0.0984886,66.038,2455012.44,,0.803
Kepler-55 b,,0.153688,27.9481449,,,,,0.62
HD 4313 b,2.34791,1.17834,356,0.041,85.59,2454804,46.9,1.72
HR 8799 b,,67.4293,164253,0,,,,1.516
HD 2638 b,0.477325,0.0435743,3.4442,0,0,2453323.206,67.4,0.93
HD 168443 b,7.69745,0.29385,58.11247,0.52883,172.923,2455626.199,475.133,0.995
HD 10180 f,0.0743252,0.49279,122.72,0.133,265,2454027.5528,2.95,1.06
HD 45350 b,1.83614,1.94413,963.6,0.778,343.4,2451825.3,58,1.054
