NAME,A,ECC,PER,MSINI,MASS,FE,MSTAR,DATE,R,GRAVITY,DENSITY,DIST,DEC
WTS-1 b,0.0465809,0.05,3.352059,,,-0.5,1.2,2012,1.49,,1.61,3200,36.29032500002119
WASP-61 b,0.0514489,0,3.8559,2.05477,653.084532991865,-0.1,1.22,2012,1.24,3.49736,1.41882,480.001,-26.05413888878293
WASP-67 b,0.0517914,0,4.61442,0.418184,133.26368333835492,-0.07,0.87,2012,1.4,2.906,0.21216,225.002,-19.94955555597941
Kepler-46 c,0.280101,0.0146,57.011,,,0.41,0.902,2012,,,,855,42.60417499992582
HD 207832 b,0.569755,0.13,161.97,0.564176,179.30450456964948,0.06,0.94,2012,,,,54.4366,-26.02621171
HAT-P-17 b,0.0882385,0.346,10.338523,0.530106,168.49301908205283,0,0.857,2012,1.01,3.11244,0.64,90.0009,30.48872666676839
HAT-P-39 b,0.0509456,0,3.54387,0.598375,190.43444230189812,0.19,1.404,2012,1.571,2.77966,0.19,642,17.83005555576748
WASP-55 b,0.0532575,0,4.465633,0.57116,181.52826739981924,-0.2,1.01,2012,1.3,2.92051,0.34476,330,-17.50352777772479
75 Cet b,2.07589,0.117,691.9,3.04335,967.2271843928894,0,2.49,2012,,,,81.4332,-1.03481748
HIP 57274 d,1.00678,0.27,431.7,0.528573,167.98927975293762,0.09,0.73,2012,,,,25.9202,30.96021865
HD 222155 b,5.13864,0.16,3999,2.02633,644.00133423722,-0.11,1.13,2012,,,,49.1,48.99680989
GJ 433 b,0.0580371,0.08,7.3709,0.0181986,5.783817384754443,-0.22,0.48,2012,,,,8.88257,-32.53790026
CoRoT-23 b,0.0483417,0.16,3.6313,3.07662,980.559591242342,0.05,1.14,2012,1.05,,3,599.988,4.357794444296095
HD 164509 b,0.877542,0.26,282.4,0.480333,152.65780641759565,0.21,1.13,2012,,,,51.9999,0.10460626
HD 204313 d,3.94498,0.28,2831.6,1.60642,510.54696093200755,0.24,1.02,2012,,,,47.4834,-21.72559562
HAT-P-37 b,0.0379273,0.058,2.79736,1.1719,372.99593150547355,0.03,0.929,2012,1.178,3.32484,0.89,411,51.26913888878293
WASP-66 b,0.0546221,0,4.086052,2.30754,735.2560178768705,-0.31,1.3,2012,1.39,3.47154,1.14036,380,-34.98980555534363
HIP 57274 b,0.0712798,0.187,8.1352,0.0365708,11.622807733252987,0.09,0.73,2012,,,,25.9202,30.96021865
Kepler-47 b,0.267621,0,49.514,,,-0.25,1.043,2012,0.265621,,,,46.92047222216924
MOA-bin-1L b,,,,,1175.9214622878378,,0.75,2012,,,,5100,-29.79388888888889
WASP-47 b,0.0520112,0,4.1591399,1.13635,361.18586622476647,0.18,1.084,2012,1.15,3.35698,0.9842,200,-12.01883333338632
Kepler-32 f,0.0130732,0,0.74296,,,-0.01,0.54,2012,0.0730903,,,303,46.57427222
MOA-2010-BLG-477L b,,,,,476.72491714371796,,0.67,2012,,,,2300,-31.45458333
HD 100655 b,0.764579,0.085,157.57,1.67155,531.2463568343878,0.15,2.4,2012,,,,122.249,20.44154838
HAT-P-34 b,0.0677467,0.441,5.452654,3.32973,1059.6005825047705,0.22,1.392,2012,1.197,3.76015,2.4,257.003,18.10486111111111
HAT-P-35 b,0.0497734,0.025,3.646706,1.05305,335.0486281008336,0.11,1.236,2012,1.332,3.16704,0.55,535.045,4.78702777783076
HD 156279 b,0.494507,0.708,131.05,9.7848,3109.771979511901,0.14,0.93,2012,,,,36.6032,63.35170236
CoRoT-16 b,0.0617874,0.33,5.35227,0.535943,170.97961624987445,0.19,1.098,2012,1.17,2.99165,0.44,840,-6.002583333386315
HD 37605 c,3.81754,0.013,2720,3.36552,1069.6181620970171,0.336,1,2012,,,,43.9754,6.06117666
omicron CrB b,0.826048,0.191,187.83,1.47736,469.5295490609621,-0.29,2.13,2012,,,,82.7815,29.61631116
WASP-49 b,0.0378972,0,2.7817387,0.376728,120.20809475745706,-0.23,0.938,2012,1.115,2.87818,0.361998,170,-16.96527777777778
PH-1 b,0.629412,0.0539,138.506,,,0.21,1.734,2012,0.550851,,,,39.95510000016954
HD 163607 c,2.41789,0.12,1314,2.2924,728.5628000401728,0.21,1.09,2012,,,,68.9998,56.39166423
Pr 201 b,0.0565986,0,4.4264,0.540155,171.67023174651,0.187,1.234,2012,,,,170,20.22689166704814
WASP-79 b,0.0534741,0,3.6623817,0.884655,282.0666920759265,0.03,1.52,2012,1.7,,0.18,240,-30.60041666666667
HIP 57274 c,0.177758,0.05,32.03,0.410096,130.33532108064676,0.09,0.73,2012,,,,25.9202,30.96021865
WASP-63 b,0.0574592,0,4.37808,0.377818,120.16518951491412,0.08,1.32,2012,1.43,2.68871,0.17238,330,-38.32327777756586
Kepler-36 c,0.128401,0,16.23855,0.0254888,8.100827608717486,,1.071,2012,0.327926,,0.89,,49.23180555555556
Kepler-47 c,0.895669,0,303.158,,,-0.25,1.043,2012,0.419091,,,,46.92047222216924
GJ 3470 b,0.0356123,0,3.33714,0.0439877,13.980021758561815,,0.541,2012,0.374365,2.88351,1.07,,15.39166666666667
BD +48 738 b,0.949488,0.2,392.6,0.922011,293.0304117203977,-0.2,0.74,2012,,,,,49.58696666664547
HD 96127 b,1.42112,0.3,647.3,4.00701,1273.4943401626997,-0.24,0.91,2012,,,,483.092,44.301563
WASP-42 b,0.0547344,0,4.9816877,0.496749,157.94468574871948,0.05,0.881,2012,1.063,3.03748,0.546312,160,-42.07358333322738
WASP-62 b,0.0567187,0,4.411953,0.562022,178.69874610826557,0.04,1.25,2012,1.39,2.88574,0.27846,160,-63.98841666645474
MOA-2011-BLG-293L b,,,,,8637.17492216531,,0.44,2012,,,,7150,-28.47694444444444
Kepler-46 b,0.1969,0.01,33.60134,,,0.41,0.902,2012,0.808,2.96638,0.497406,855,42.60417499992582
HAT-P-41 b,0.0425775,0,2.694047,0.799609,254.33401456261925,0.21,1.418,2012,1.685,2.84497,0.2,344,4.672416666878594
HD 163607 b,0.359201,0.73,75.29,0.768857,244.3555264135784,0.21,1.09,2012,,,,68.9998,56.39166423
HD 159868 c,1.00396,0.15,352.3,0.73,232.00612634327607,0,1.087,2012,,0,,58.6854,-43.14510336
HD 220773 b,4.94302,0.51,3724.7,1.44975,460.7546324194034,0.09,1.16,2012,,,,50.8906,8.64438583
epsilon CrB b,1.30723,0.11,417.9,6.75624,2147.2453028020486,-0.32,1.7,2012,,,,67.8887,26.87802608
Qatar-2 b,0.0215077,0,1.3371182,2.483,789.4850662850256,0,0.74,2012,1.144,3.67189,2.20116,,-6.803999999894036
HD 207832 c,2.1118,0.27,1155.7,0.730294,232.09956442703626,0.06,0.94,2012,,,,54.4366,-26.02621171
HAT-P-25 b,0.0465813,0.032,3.652836,0.566683,180.2595434869941,0.31,1.01,2012,1.19,2.99823,3,297,25.19741111119588
HAT-P-38 b,0.0522992,0.067,4.640382,0.267451,85.03787290348498,0.06,0.886,2012,0.825,2.98823,0.59,249.339,32.24613888846503
Kepler-50 c,0.0932375,,9.3761368,,,,1.23,2012,0.248685,,,,50.03361111111111
HD 240237 b,1.91887,0.4,745.7,5.31949,1690.6222863312244,-0.26,1.69,2012,,,,,58.04325286
Kepler-34 b,0.86856,0.182,288.822,0.22,69.92092578085769,,1.0479,2012,0.764,,0.613,,44.64156111134423
HAT-P-40 b,0.060845,0,4.457243,0.619927,197.10986240835592,0.22,1.512,2012,1.73,2.70786,0.15,501,45.45738888899486
HD 79498 b,3.13296,0.59,1966.1,1.34632,427.8828602992869,0.24,1.06,2012,,,,46.1042,23.37592703
Pr 211 b,0.0320419,0,2.1451,1.84394,586.0347624786582,0.187,0.952,2012,,,,170,19.27704444461398
WASP-78 b,0.0361391,0,2.17517656,0.877779,280.94893105353015,-0.35,1.33,2012,1.7,,0.18,550,-22.11641666624281
omicron UMa b,3.94973,0.13,1630,4.09607,1301.7990875765793,-0.09,3.09,2012,,,,54.9149,60.71843103
HD 5608 b,1.94034,0.19,792.6,1.40789,447.45082906497936,0.06,1.55,2012,,,,56.3698,33.95105921
WASP-46 b,0.0244921,0,1.43037,2.08495,668.1522185397208,-0.37,0.956,2012,1.31,3.48191,1.2502,,-55.87177777767182
WASP-45 b,0.0405459,0,3.1260876,1.00188,319.90466656623477,,0.909,2012,1.16,3.29465,0.8512,,-35.99827777756585
alpha Cen B b,0.0418506,0,3.2357,0.00354639,1.1271016526062068,0.3,0.934,2012,,,,1.25483,-60.83948046
CoRoT-19 b,0.0516604,0.047,3.89713,1.10724,352.1153801345787,-0.02,1.21,2012,1.29,3.23238,0.71,770.001,-0.1706944444444444
Kepler-54 c,0.0822829,,12.0717249,,,,0.51,2012,0.109635,,,,43.05616666687859
WASP-44 b,0.0347371,0,2.4238039,0.88769,282.80466224766496,0.06,0.951,2012,1.14,3.23135,0.458647,,-11.93813888867696
Kepler-38 b,0.429659,0,105.595,,,-0.11,0.949,2012,0.387735,,,,42.26791944450802
HAT-P-29 b,0.0666842,0.095,5.723186,0.778006,247.5804115697499,0.21,1.207,2011,1.107,3.19859,0.71,322,51.77876944435967
Kepler-49 c,0.07889,,10.9129343,,,,0.55,2011,0.227293,,,,40.59166666666667
Kepler-33 c,0.118876,0,13.17562,,,,1.291,2011,0.28523,3.71261,9.91915,,46.005
HD 131496 b,2.1121,0.163,883,2.24115,712.274698704429,0.25,1.61,2011,,,,110,18.23548977
CoRoT-14 b,0.0269122,0,1.51214,7.56823,2445.4844109671585,0.05,1.13,2011,1.09,4.20575,7.3,1340,-5.536027777724795
Kepler-32 b,0.0520435,0,5.90124,0,0,-0.01,0.54,2011,0.1963,,,303,46.57427777767182
HAT-P-19 b,0.0466409,0.067,4.008778,0.292129,92.88921447223059,0.23,0.842,2011,1.132,2.75335,0.25,215,34.71154444482592
Kepler-24 c,0.105496,0,12.3318,0,0,-0.24,1.03,2011,0.249577,,,,38.34361111111112
HD 104067 b,0.264333,0,55.806,0.185935,59.09323164607813,-0.06,0.791,2011,,,,21.0659,-20.35275097
HD 20794 b,0.120738,0,18.315,0.00848679,2.697242839710756,-0.4,0.7,2011,,,,6.04339,-43.07154908
Kepler-33 b,0.0677431,0,5.66793,,,,1.291,2011,0.155094,3.59288,,,46.005
HD 31253 b,1.26054,0.3,466,0.501427,159.36183001908202,0.16,1.23,2011,,,,50.3018,12.35229844
GJ 667 C b,0.0504235,0.09,7.199,0.0171709,5.457197253188711,-0.55,0.33,2011,,,,7.23589,-34.99683333290948
Kepler-27 c,0.168484,0,31.3309,0,0,0.41,0.65,2011,0.436759,,,,41.08583333333333
alpha Ari b,1.17579,0.25,380,1.85989,591.1039374309531,-0.09,1.5,2011,,,,20.1776,23.46277747
Kepler-33 f,0.253499,0,41.02902,,,,1.291,2011,0.39754,3.59288,5.34815,,46.005
MOA-2009-BLG-319L b,,,,,49.89720799437581,,0.38,2011,,,,6100,-26.81972222222222
HD 218566 b,0.687282,0.3,225.7,0.212872,67.65425770814502,0.38,0.85,2011,,,,28.5551,-2.26050794
HAT-P-21 b,0.0494951,0.228,4.124481,4.07346,1296.1610208898262,0.01,0.947,2011,1.024,3.98334,4.68,254,41.02795833375719
Kepler-69 b,0.104565,0.16,13.722341,,,-0.29,0.81,2011,0.199661,,,,44.86888888888889
Kepler-27 b,0.10464,0,15.3348,0,0,0.41,0.65,2011,0.356538,,,,41.08583333333333
Kepler-11 d,0.154183,0,22.68719,0.0191935,6.100458074721302,0,0.95,2011,0.306004,,0.9,,41.90913055525886
Kepler-40 b,0.0806644,0,6.87349,2.17681,691.8359124234206,0.1,1.48,2011,1.17,3.59129,1.68,2700,47.52654444482592
Kepler-17 b,0.0267923,0,1.4857108,2.47651,788.0040408757657,0.26,1.16,2011,1.33,3.53884,1.3,800,47.815
Kepler-25 c,0.113953,0,12.720359,0,0,0.01,1.22,2011,0.401105,,,,39.48777777777778
HAT-P-33 b,0.0502683,0.148,3.474474,0.76507,243.55589981922267,0.05,1.403,2011,1.827,2.75438,0.15,419.001,33.83503333330155
Kepler-30 d,0.534239,0.022,143.343,0,23.10119959827257,0.18,0.99,2011,0.784384,,0.19,,47.49122222211626
Kepler-30 b,0.185524,0.042,29.334,0,11.30060525258612,0.18,0.99,2011,0.347625,,1.02,,47.49122222211626
HD 102329 b,2.07041,0.211,778.1,5.86632,1864.4139439590238,0.3,1.95,2011,,,,158.003,3.47433829
Kepler-62 b,0.0552794,0.0707107,5.714932,,0,-0.37,0.69,2011,0.116766,,,368,45.34986111111111
Kepler-11 b,0.0910985,0,10.30375,0.01352,4.298342542934618,0,0.95,2011,0.175752,,3.1,,41.90913055525886
Kepler-51 b,0.248169,,45.1555023,,,,1,2011,0.628398,,,,49.9375
HD 28678 b,1.25067,0.168,387.1,1.71423,544.8107698101837,-0.11,1.74,2011,,,,227,4.57531906
GJ 676 A b,1.81539,0.326,1056.8,4.89701,1556.3511243346388,0.18,0.71,2011,,,,16.4501,-51.63652557
Kepler-54 b,0.0626016,,8.0109434,,,,0.51,2011,0.187182,,,,43.05616666687859
HD 125595 b,0.0809437,0,9.6737,0.0416764,13.245452224565632,0.02,0.756,2011,,,,27.9564,-40.39378381
Kepler-33 d,0.166175,0,21.77596,,,,1.291,2011,0.477,,,,46.005
Kepler-20 d,0.345324,0,77.61184,0.0236858,7.52796316661645,0.01,0.912,2011,0.24512,2.79659,2.035,290,42.33869444423252
HD 142245 b,2.77628,0,1299,1.89038,600.7941659134277,0.23,1.69,2011,,,,109.5,15.43075791
Kepler-30 c,0.300013,0.0111,60.3231,0,640.0349829265843,0.18,0.99,2011,1.09635,,1.88,,47.49122222211626
Kepler-59 c,0.136086,,17.9801235,,,,1.04,2011,0.176486,,,,46.64
WASP-34 b,0.0520747,0.038,4.3176782,0.581308,185.39959154363765,-0.02,1.01,2011,1.22,3.1518,0.4522,120,-23.86063888867696
HD 96063 b,0.99927,0,361.1,0.920067,292.4125762277794,-0.3,1.02,2011,,,,158,-2.51317574
HAT-P-22 b,0.0414094,0.016,3.21222,2.14822,683.7411233303203,0.24,0.916,2011,1.08,3.66064,2.11,82.0001,50.12834194395278
Kepler-56 b,0.104248,,10.5034294,,,,1.37,2011,0.342276,,,,41.87166666666667
Kepler-53 b,0.136705,,18.6489525,,,,0.98,2011,0.257599,,,,40.5625
HD 22781 b,1.16847,0.8191,528.07,13.8403,4398.677247162799,-0.37,0.75,2011,,,,32.7761,31.82651848
WASP-41 b,0.0404959,0,3.052401,0.931742,296.361765441398,-0.08,0.95,2011,1.2,3.20274,0.663,180.018,-30.63986111111111
Kepler-45 b,0.0298817,0.11,2.455239,0.510798,162.5628789293964,0.13,0.59,2011,0.96,3.05584,0.76661,333,41.06426944414774
Kepler-68 b,0.061775,0,5.398763,0.0238819,8.321392337049312,0.12,1.079,2011,0.205901,3.14595,3.32,135,49.04027777777777
Kepler-20 f,0.137859,0,19.57706,0,0,0.02,0.912,2011,0.0918085,4.40565,0,290,42.33869444423252
HD 97658 b,0.0807747,0,9.494,0.0242781,7.715983473937933,-0.23,0.78,2011,,2.71663,,21.1149,25.7102675
Kepler-57 b,0.0588891,,5.7293196,,,,0.83,2011,0.195205,,,,44.65694444444444
HD 106270 b,4.3673,0.402,2890,11.0314,3505.962167319473,0.08,1.32,2011,,,,84.8969,-9.51327855
HD 30856 b,2.03503,0.117,912,1.8481,587.3568795822034,-0.06,1.35,2011,,,,118.1,-24.36879554
HD 10180 d,0.128581,0.143,16.3567,0.0376549,11.967352721703323,0.08,1.06,2011,,,,39.0168,-60.51154231
HD 85512 b,0.260405,0.11,58.43,0.0113953,3.62161563221854,-0.33,0.69,2011,,,,11.152,-43.50163787
Kepler-18 c,0.0752115,0.000338541,7.64159,0.054387,17.289223661745506,0.2,0.972,2011,0.489785,3.0518,0.59,,44.74637222184075
Kepler-53 c,0.221868,,38.5583038,,,,0.98,2011,0.282556,,,,40.5625
Kepler-37 d,0.21202,0.102489,39.792187,,,-0.32,0.803,2011,0.178,,,66,44.51815444
HD 152581 b,1.48938,0,689,1.51375,481.09489555086867,-0.46,0.927,2011,,,,186,11.97378344
Kepler-10 c,0.239651,,45.29485,0,0,-0.15,0.895,2011,0.198671,,5,173,50.24131944444444
HD 90156 b,0.249855,0.31,49.77,0.0565295,17.96601413578387,-0.24,0.84,2011,,,,22.3514,-29.64577141
HD 116029 b,1.74607,0,670,2.1395,679.9686401526563,0.18,1.58,2011,,,,123.198,24.64882426
Kepler-55 b,0.153688,,27.9481449,,,,0.62,2011,0.216597,,,,44.02638888888889
24 Sex c,2.1229,0.412,910,1.3623,432.96156974992465,-0.03,1.54,2011,,,,77.4593,-0.90216202
Kepler-33 e,0.213825,0,31.7844,,,,1.291,2011,0.358929,,6.67399,,46.005
Kepler-19 b,0.0845828,0,9.2869944,0,0,-0.13,0.936,2011,0.197074,3.8231,5.53257,,37.85180555555556
HAT-P-26 b,0.0478684,0.124,4.234516,0.0586313,18.6395946620468,-0.04,0.816,2011,0.565,2.658,0.4,134,4.060036111407809
Kepler-20 e,0.063351,0,6.098493,0,0,0.02,0.912,2011,0.0773688,4.38945,0,290,42.33869444423252
WASP-48 b,0.034488,0,2.143634,0.969551,312.80655036657623,-0.12,1.19,2011,1.67,2.94106,0.2793,,55.47305555555555
Kepler-62 d,0.119499,0.0948683,18.16406,,0,-0.37,0.69,2011,0.173812,,,368,45.34986111111111
Kepler-50 b,0.0825598,,7.8125124,,,,1.23,2011,0.196096,,,,50.03361111111111
HD 10180 f,0.49279,0.133,122.72,0.0743252,23.62178320779351,0.08,1.06,2011,,,,39.0168,-60.51154231
HD 10180 e,0.269917,0.065,49.747,0.0797893,25.3583649543035,0.08,1.06,2011,,,,39.0168,-60.51154231
HD 102365 b,0.463328,0.34,122.1,0.0509774,16.20146452746811,-0.26,0.89,2011,,,,9.22084,-40.50133463
HD 108863 b,1.39761,0,443.4,2.55796,812.9621793712965,0.2,1.85,2011,,,,139.005,21.94832586
Kepler-21 b,0.0427173,0,2.785755,0,0,-0.15,1.34,2011,0.1459,3.83154,0,112.867,38.71394646
WASP-50 b,0.0294714,0.009,1.9550959,1.46438,467.9658913327307,-0.12,0.892,2011,1.153,3.43894,1.27031,230,-10.89805555555555
7 CMa b,1.87994,0.14,763,2.64541,840.7552420407753,0.21,1.52,2011,,,,19.7511,-19.25570935
WASP-37 b,0.0446312,0,3.577469,1.79324,570.0422305915436,-0.4,0.925,2011,1.16,3.51446,1.5295,343,1.064972222646078
Kepler-11 c,0.106504,0,13.02502,0.04247,13.499737295370092,0,0.95,2011,0.281024,,2.3,,41.90913055525886
TrES-5 b,0.0245157,0,1.4822446,1.77,565.1097167821632,0.2,0.893,2011,1.209,3.47659,1.25,360,59.44877777735392
Kepler-11 e,0.1939,0,31.9959,0.0264262,8.400528673295169,0,0.95,2011,0.403248,3.43801,0.5,,41.90913055525886
WASP-25 b,0.0473714,0,3.764825,0.578118,183.84737521341768,-0.05,1,2011,1.22,2.97969,0.42161,,-27.52219444433848
HD 200964 c,1.94439,0.181,825,0.892778,283.7396787184895,-0.15,1.44,2011,,,,72.2022,3.80299623
HD 103197 b,0.249018,0,47.84,0.0982431,31.223289138294668,0.21,0.9,2011,,,,53.135,-50.29284042
HD 10180 h,3.42452,0.151,2248,0.206033,65.4807099025811,0.08,1.06,2011,,,,39.0168,-60.51154231
Kepler-49 b,0.0598092,,7.2037945,,,,0.55,2011,0.242446,,,,40.59166666666667
Kepler-23 c,0.0986522,0,10.7421,0,0,-0.09,1.11,2011,0.28523,,,,49.47916666666667
HD 33142 b,1.05802,0.12,326.6,1.32886,422.333782263734,0.05,1.48,2011,,,,126,-13.98656439
Kepler-42 b,0.0112809,,1.2137672,,,-0.48,0.13,2011,0.0695249,,,38.7,44.6193333334393
HAT-P-20 b,0.03616,0.015,2.875317,7.27817,2316.7337235110977,0.35,0.756,2011,0.867,4.3781,13.78,70.0001,24.33649166663488
GJ 3634 b,0.0286881,0.08,2.64561,0.0221881,7.051746756051019,,0.45,2011,,,,19.7824,-31.14419444402059
Kepler-58 b,0.0905953,,10.2184954,,,,0.95,2011,0.247794,,,,39.115
Kepler-43 b,0.0449294,0,3.024095,3.21573,1027.0021326704832,0.33,1.32,2011,1.2,3.74647,2.33,1950,46.66830000003178
Kepler-18 b,0.0447299,0,3.504725,0.0216244,6.991965451441196,0.2,0.972,2011,0.17843,3.81783,4.9,,44.74637222184075
CoRoT-17 b,0.0480499,0,3.7681,2.45898,781.8320422818117,0,1.04,2011,1.02,3.73099,2.82,919.997,-6.612249999576145
HAT-P-18 b,0.0559503,0.084,5.508023,0.197162,62.6750248568846,0.1,0.77,2011,0.995,2.69234,0.25,166,33.01249166700575
HD 20794 d,0.349781,0,90.309,0.0147932,4.701524696193633,-0.4,0.7,2011,,,,6.05987,-43.07154908
WASP-43 b,0.0142363,0,0.813475,1.7613,564.4709053931907,-0.05,0.58,2011,0.93,3.70192,2.9393,80,-9.80625
Kepler-39 b,0.155007,0.121,21.0874,18.1767,5778.064904087576,-0.29,1.1,2011,1.22,4.48033,12.4,1200.05,46.03428611112965
Kepler-11 g,0.463832,0,118.37774,0,0,0,0.95,2011,0.326523,,1.19855,,41.90913055525886
Kepler-29 b,0.0928723,0,10.3376,0,0,0,1,2011,0.320884,,,,47.49122222211626
Kepler-24 b,0.0800144,0,8.14561,0,0,-0.24,1.03,2011,0.213923,,,,38.34361111111112
Kepler-48 c,0.0854683,,9.6739283,,,,0.89,2011,0.279882,,,,40.94888888888889
HAT-P-23 b,0.0231971,0.106,1.212884,2.0884,666.1626865521744,0.15,1.13,2011,1.368,3.44179,1.01,393,16.7621638891432
Kepler-14 b,0.0806879,0.0350051,6.790123,8.40643,2671.7030968163103,0.12,1.512,2011,1.136,4.18266,7.1,979.998,47.33301944414775
Kepler-18 d,0.117171,0.000521567,14.85888,0.0515706,16.3993371497439,0.2,0.972,2011,0.622714,2.93962,0.27,,44.74637222184075
HD 10180 g,1.42271,0,602,0.0673813,21.414896439690672,0.08,1.06,2011,,,,39.0168,-60.51154231
HD 98219 b,1.23037,0,436.9,1.83388,582.837527367681,-0.02,1.3,2011,,,,134,-23.97537503
HD 158038 b,1.49788,0.291,521,1.79425,570.2424550567439,0.28,1.65,2011,,,,103.6,27.30348419
HD 10180 c,0.0641175,0.077,5.75962,0.0415054,13.191105584011247,0.08,1.06,2011,,,,39.0168,-60.51154231
WASP-31 b,0.0466223,0,3.405909,0.477154,152.3387185397208,-0.2,1.165,2011,1.537,2.70021,0.132,400,-19.05477777798971
CoRoT-18 b,0.0295483,0.04,1.9000693,3.48002,1108.0739720799436,-0.1,0.95,2011,1.31,3.7049,2.2,869.996,-0.03158333354526096
Kepler-31 b,0.158038,0,20.8613,,,-0.076,1.21,2011,0.383278,,,,45.8530833334393
Kepler-26 c,0.113189,0,17.25204,0,0,-0.21,0.65,2011,0.320884,,,,46.56638888888889
