NAME,A,ECC,PER,MSINI,MASS,FE,MSTAR,DATE,R,GRAVITY,DENSITY,DIST,DEC
,au,,day,mjupiter,mearth,,msun,,rjupiter,,g/cm^3,pc,deg
WASP-57 b,0.0386362,0,2.838971,0.675475,,-0.25,0.954,2013,0.916,,0.11576,455,-2.057638888888889
HATS-1 b,0.0444708,0.12,3.446459,1.85957,592.750227478156,-0.06,0.986,2013,1.302,3.43517,1.03,303,-23.35483333322737
HD 77338 b,0.0612143,0.09,5.7361,0.0498139,15.831684900070302,0.35,0.93,2013,,,,40.7498,-25.52640457
Kepler-58 c,0.119982,,15.5741568,,,,0.95,2013,0.254925,,,,39.115
HD 4732 c,4.60219,0.23,2732,2.36493,751.6140388671287,0.01,1.74,2013,,,,57.9039,-24.13652672
Kepler-62 c,0.0928559,0.186815,12.4417,,0,-0.37,0.69,2013,0.0481326,,,368,45.34986111111111
WASP-52 b,0.0271336,0,1.7497798,0.45566,145.2946311640052,0.03,0.87,2013,1.27,2.84909,0.29172,140,8.761277777353923
Kepler-60 b,0.0750769,,7.1316185,,,,1.11,2013,0.203227,,,,42.265
Kepler-37 c,0.139784,0.0984886,21.301886,,,-0.32,0.803,2013,0.066,,,66,44.51815444
Kepler-51 c,0.379271,,85.3128662,,,,1,2013,0.508958,,,,49.9375
WASP-56 b,0.056145,0,4.617101,0.605178,,0.12,1.107,2013,1.092,3.06142,0.580788,255,23.05561111132304
HD 2952 b,1.22755,0.129,311.6,1.62021,,0,2.54,2013,,,,115.207,54.8950805
WASP-54 b,0.049881,0.067,3.6936411,0.630293,,-0.27,1.213,2013,1.653,2.76029,0.186966,200,-0.1280555555555556
WASP-59 b,0.0696866,0.1,7.919585,0.859026,273.0346617957216,-0.15,0.719,2013,0.775,3.54717,2.3868,125,24.88927777767181
Kepler-69 c,0.709354,0.14,242.4613,,,-0.29,0.81,2013,0.15242,,,,44.86888888888889
omega Ser b,1.07698,0.106,277.02,1.70083,,-0.24,2.17,2013,,,,80.6452,2.19662505
Kepler-60 d,0.105629,,11.9016171,,,,1.11,2013,0.227293,,,,42.265
WASP-60 b,0.0531041,0,4.3050011,,,-0.04,1.078,2013,0.86,,1.0608,400,31.15594444433848
Kepler-37 b,0.102457,0,13.367308,,,-0.32,0.803,2013,0.0270078,,,66,44.51815444
WASP-58 b,0.0562022,0,5.01718,0.890462,283.2950532791001,-0.45,0.94,2013,1.37,3.06853,0.45084,300,45.17197222232819
MOA-2010-BLG-073L b,,,,,3495.982725720598,,0.16,2013,,,,2800,-31.45458333333333
HD 208527 b,2.099,0.08,875.5,10.014,3182.615546851461,-0.09,1.6,2013,,,,403.226,21.23982284
Kepler-62 f,0.717595,0.094434,267.291,,0,-0.37,0.69,2013,0.12568,,,368,45.34986111111111
WASP-72 b,0.036575,0,2.216726,1.40552,,-0.06,1.327,2013,1.01,,1.80336,250,-30.16902777777778
Kepler-55 c,0.202122,,42.1516418,,,,0.62,2013,0.196987,,,,44.02638888888889
WASP-80 b,0.0344696,0,3.0678504,0.551763,,-0.14,0.58,2013,0.952,3.17958,0.734604,60,-2.14420833
Kepler-60 c,0.0871504,,8.9193459,,,,1.11,2013,0.220162,,,,42.265
Kepler-57 c,0.0942979,,11.6092567,,,,0.83,2013,0.138158,,,,44.65694444444444
Kepler-68 d,1.39639,0.18,580,0.845413,,0.12,1.079,2013,,,,135,49.04027777777777
WASP-64 b,0.0265195,0,1.5732918,1.2691,,-0.08,1.004,2013,1.271,3.29079,0.820794,350,-32.85868055555556
Kepler-68 c,0.0907019,0,9.605085,0.0137538,4.812379130260117,0.12,1.079,2013,0.0849452,3.67348,28,135,49.04027777777777
WASP-77 A b,0.0240406,0,1.3600309,0.119555,559.3572361152958,0,1.002,2013,1.21,2.35619,1.326,93,-7.060666667090522
HD 220074 b,1.60044,0.14,672.1,11.1883,3555.827593652706,-0.25,1.2,2013,,,,324.675,61.97014036
HD 120084 b,4.26892,0.66,2082,4.4772,,0.09,2.39,2013,,,,97.6562,78.06432593
HD 4732 b,1.19218,0.13,360.2,2.37727,755.5358958521643,0.01,1.74,2013,,,,57.9039,-24.13652672
OGLE-2011-BLG-0251 b,,,,,168.44280405744703,,0.26,2013,,,,2570,-27.13613888899485
HAT-P-36 b,0.0238229,0.063,1.327347,1.83475,584.537846238827,0.26,1.022,2012,1.264,3.45213,1.12,317,44.91536111089918
Kepler-35 b,0.48628,0.042,131.458,0.127,40.36620563422718,,0.8877,2012,0.728,,0.41,,46.68976111094157
HD 197037 b,2.07477,0.22,1035.7,0.807324,256.58097800542333,-0.2,1.11,2012,,,,32.3311,42.24908831
WASP-36 b,0.0262601,0,1.5373653,2.25537,721.2180581500451,-0.31,1.02,2012,1.269,3.54263,1.47451,450,-8.026944444444446
KELT-2 A b,0.0549707,0,4.1137912,1.52019,483.2846520036156,-0.018,1.308,2012,1.286,3.35962,0.948085,128.5,30.95714744
