NAME,MSTAR
,mearth
XO-1 b,341907.00679588894
Kepler-63 b,327591.5235512704
Kepler-33 d,429797.41555354686
Kepler-287 c,
Kepler-245 b,
Kepler-100 c,359551.6721904188
Kepler-180 c,
Kepler-82 e,
Kepler-20 d,303621.4120719092
Kepler-217 b,
Kepler-235 e,
Kepler-227 c,
Kepler-169 d,
Kepler-254 b,
Kepler-79 e,
Kepler-241 b,
55 Cnc b,301290.9845669713
Kepler-380 c,
Kepler-384 b,
Kepler-193 c,
Kepler-368 c,
Kepler-74 b,466085.5009875799
HD 207832 b,312943.1220916608
M 67 YBP 1514 b,319601.48639148334
WASP-55 b,336247.3971410398
Kepler-280 b,
Kepler-325 c,
HD 33283 b,412818.5865889994
OGLE-TR-111 b,283646.3191724415
MOA-2007-BLG-400L b,99875.46449733854
HD 10180 e,352893.3078905962
Kepler-185 b,
55 Cnc d,301290.9845669713
WASP-3 b,406160.2222891768
HD 148156 b,406160.2222891768
Kepler-172 d,
Kepler-182 c,
TrES-5 b,297295.96598707774
Kepler-49 e,
HD 222155 b,376197.58293997514
Kepler-399 c,
Kepler-175 c,
Kepler-391 c,
HD 73526 b,337579.07000100426
Kepler-200 b,
HD 117207 b,343238.6796558534
Kepler-122 d,
HD 121504 b,392843.4936895316
HD 156846 b,476073.0474373137
Kepler-18 b,323596.5049713769
HR 8799 d,504704.0139265508
HAT-P-23 b,376197.58293997514
HD 224693 b,442781.2259382009
Kepler-388 c,
Kepler-246 c,
HD 158038 b,549315.054735362
Kepler-240 b,
Kepler-26 c,216396.83974423353
Kepler-143 c,
GJ 179 b,118851.80275183286
Kepler-206 b,
Kepler-22 b,322930.66854139464
Kepler-68 c,359218.75397542765
Kepler-300 b,
Kepler-110 c,
Kepler-42 d,43279.36794884671
Kepler-357 d,
HD 143361 b,316272.3042415721
HD 155358 b,289638.84704228176
Kepler-134 b,
Kepler-369 b,
HD 192310 b,266334.57199290284
Kepler-257 d,
Kepler-342 b,
Kepler-119 b,
WASP-64 b,334249.88785109296
Kepler-190 b,
upsilon And b,436122.8616383783
Kepler-56 c,456097.9545378461
Kepler-237 b,
Kepler-223 e,
HD 86081 b,402831.0401392655
HD 109246 b,336247.3971410398
Kepler-81 d,
Kepler-68 d,359218.75397542765
Kepler-403 c,
Kepler-197 d,
Kepler-348 b,
Kepler-341 d,
HD 128311 c,275656.2820126544
Kepler-364 c,
Kepler-299 e,
CoRoT-23 b,379526.76508988644
Kepler-387 c,
Kepler-54 d,
WASP-39 b,309613.93994174956
Kepler-219 b,
GJ 876 b,106533.82879716111
Kepler-385 b,
Kepler-374 b,
Kepler-296 e,
HD 164509 b,376197.58293997514
HD 9446 b,332918.2149911285
HD 18742 b,575948.5119346522
Kepler-255 b,
Kepler-197 b,
Kepler-183 c,
Kepler-232 b,
Kepler-345 c,
WASP-80 b,193092.56469485452
HD 167042 b,542656.6904355395
Kepler-152 b,
HD 69830 b,282647.56452746806
Kepler-8 b,403829.7947842389
Kepler-336 d,
Kepler-353 c,
HD 114762 b,297821.31093033374
Kepler-154 b,
61 Vir c,313608.958521643
HD 45652 b,276322.1184426366
Kepler-237 c,
HAT-P-14 b,461424.6459777041
Kepler-317 c,
Kepler-301 d,
Kepler-148 c,
Kepler-49 d,
Kepler-169 b,
WASP-66 b,432793.67948846705
HD 73256 b,349564.1257406849
Kepler-303 c,
Kepler-168 b,
Kepler-56 b,456097.9545378461
6 Lyn b,605911.1512838539
Kepler-238 b,
Kepler-151 c,
Kepler-150 b,
HD 180314 b,865587.3589769341
HD 17092 b,765711.8944795955
Kepler-353 b,
HIP 57274 b,243030.2969435238
Kepler-281 c,
Kepler-236 b,
HD 202206 b,357554.16290047206
WASP-5 b,336247.3971410398
Kepler-78 b,269663.7541428141
Kepler-55 f,
Kepler-314 c,
CoRoT-2 b,322930.66854139464
Kepler-187 c,
Kepler-257 c,
HD 108874 c,316272.3042415721
MOA-2010-BLG-073L b,53266.91439858056
Kepler-289 b,
Kepler-346 c,
HD 200964 c,522681.5975360717
HD 10180 h,352893.3078905962
HD 33142 b,539327.5082856282
Kepler-402 e,
HAT-P-20 b,251686.17053329313
HD 7924 b,276987.9548726189
CoRoT-5 b,332918.2149911285
WASP-47 b,360883.3450503833
Kepler-194 d,
OGLE-2011-BLG-0251 b,86558.73589769342
Kepler-36 b,356555.4082554986
Kepler-161 b,
HAT-P-35 b,411486.9137290348
HD 99109 b,312943.1220916608
Kepler-253 c,
Kepler-5 b,457429.6273978106
Kepler-161 c,
HD 10647 b,364545.4454152857
Kepler-331 b,
Kepler-28 c,249688.66124334635
Kepler-121 b,
Kepler-412 b,388515.55689464696
upsilon And c,436122.8616383783
Kepler-170 c,
Kepler-122 b,
WASP-12 b,426135.31518864445
Kepler-148 b,
HD 170469 b,378195.0922299219
Kepler-285 b,
HD 88133 b,392843.4936895316
HD 196885 b,409489.4044390881
24 Sex b,602581.9691339426
HD 190228 b,606244.0694988449
Kepler-333 b,
Kepler-370 c,
OGLE-2006-BLG-109L b,169788.28964547554
Kepler-111 c,
Kepler-267 d,
HD 181720 b,306284.75779183826
55 Cnc c,301290.9845669713
HD 156411 b,412818.5865889994
Kepler-101 b,
91 Aqr b,439452.0437882896
Kepler-362 b,
Kepler-301 b,
Kepler-403 b,
Kepler-404 c,
Kepler-279 b,
HD 27894 b,249688.66124334635
HD 156279 b,309613.93994174956
Kepler-207 d,
Kepler-297 c,
Kepler-345 b,
61 Vir d,313608.958521643
Kepler-141 c,
HD 179079 b,362880.8543403301
Kepler-220 d,
OGLE-05-390L b,73242.00729804827
WASP-4 b,302955.57564192696
Kepler-141 b,
HD 4113 b,329589.0328412172
HD 330075 b,233042.75049378994
Kepler-256 e,
HD 104985 b,346234.9435907737
Kepler-189 b,
Kepler-101 c,
HD 87883 b,267333.3266378762
Kepler-81 c,213067.65759432223
Kepler-156 c,
Kepler-127 d,
HD 10180 g,352893.3078905962
Kepler-275 c,
Kepler-201 c,
Kepler-208 c,
Kepler-274 b,
HD 66428 b,353226.2261055873
HD 52265 b,389514.3115396203
Kepler-75 b,292968.02919219306
Kepler-326 c,
Kepler-249 c,
Kepler-79 c,366210.03649024136
HD 16417 b,371203.80971510825
Kepler-251 c,
Kepler-15 b,338910.7428609688
HD 205739 b,406160.2222891768
Kepler-302 b,
Kepler-317 b,
Kepler-152 c,
Kepler-343 b,
CoRoT-16 b,365544.20006025914
HD 216770 b,299626.39349201566
HD 136418 b,442781.2259382009
Kepler-59 b,346234.9435907737
Kepler-192 b,
beta Pic b,582606.8762344748
Kepler-202 c,
GJ 163 d,133167.28599645142
Kepler-339 c,
HD 188015 b,351561.63503063173
WASP-59 b,239368.19657862137
WASP-54 b,403829.7947842389
HAT-P-8 b,426135.31518864445
WASP-15 b,392843.4936895316
HD 10180 d,352893.3078905962
HD 9446 c,332918.2149911285
XO-4 b,439452.0437882896
WASP-48 b,396172.6758394429
HD 37124 b,282980.4827424592
WASP-32 b,356222.4900405075
Kepler-265 b,
OGLE-TR-211 b,442781.2259382009
gamma Cep b,419476.9508888219
Kepler-325 b,
Kepler-11 g,319934.40460647445
Kepler-256 b,
GJ 86 b,265002.8991329383
HR 8799 e,504704.0139265508
HD 8574 b,373534.2372200462
Kepler-269 c,
MOA-2007-BLG-192L b,27965.130059254792
Kepler-250 b,
HD 82886 b,352893.3078905962
HD 179949 b,393176.4119045228
HD 2952 b,845612.2660774663
Kepler-169 e,
MOA-2009-BLG-319L b,126508.92169662882
HIP 14810 c,329589.0328412172
Kepler-358 c,
HD 28678 b,675823.9764319907
WASP-56 b,368540.4639951792
Kepler-18 c,323596.5049713769
Kepler-215 e,
Kepler-230 c,
Kepler-388 b,
Kepler-107 e,
CoRoT-8 b,292968.02919219306
Kepler-401 b,
Kepler-291 c,
Kepler-292 e,
HD 96167 b,436122.8616383783
HD 43197 b,319601.48639148334
HD 37605 c,332918.2149911285
Kepler-81 b,213067.65759432223
HD 183263 b,373201.319005055
Kepler-347 c,
Kepler-32 c,179775.8360952094
Kepler-23 b,369539.21864015266
WASP-23 b,259676.2076930802
11 Com b,679153.1585819022
HD 145377 b,372868.40079006396
Kepler-194 c,
CoRoT-25 b,362880.8543403301
Kepler-332 b,
omicron CrB b,709115.7979311036
Kepler-229 c,
OGLE-TR-132 b,434458.27056342264
beta Gem b,692469.8871815474
Pr 201 b,410821.07729905256
WASP-52 b,289638.84704228176
Kepler-337 c,
Kepler-213 b,
Kepler-386 c,
47 UMa b,353892.06253556954
HD 240210 b,416147.7687389106
Kepler-304 b,
Kepler-149 d,
Kepler-77 b,316272.3042415721
HD 109749 b,402831.0401392655
HD 45364 c,272992.9362927253
Kepler-55 d,
Kepler-327 b,
WASP-50 b,296963.04777208663
HD 159243 c,374532.99186501955
Kepler-87 c,366210.03649024136
Kepler-105 c,
Kepler-195 c,
GJ 3470 b,180108.75431020051
Kepler-290 c,
Kepler-334 d,
Kepler-273 c,
Kepler-266 b,
HD 96127 b,302955.57564192696
Kepler-223 b,
HD 17156 b,427799.90626360005
Kepler-137 c,
Kepler-116 c,
Kepler-117 b,
Kepler-381 c,
HD 16760 b,259676.2076930802
HD 30562 b,425136.5605436711
Kepler-354 d,
Kepler-332 c,
Kepler-46 b,300292.2299219979
epsilon CrB b,479402.229587225
omicron UMa b,1028717.2843225871
Kepler-367 b,
TrES-2 b,327258.6053362793
Kepler-235 d,
Kepler-282 c,
HD 102195 b,289638.84704228176
Kepler-324 c,
HD 75289 b,395173.92119446956
Kepler-394 c,
Kepler-385 c,
HD 185269 b,426135.31518864445
WASP-7 b,399501.8579893542
WASP-41 b,316272.3042415721
BD -10 3166 b,306284.75779183826
HD 190360 b,327258.6053362793
HAT-P-13 c,406160.2222891768
Kepler-304 c,
Kepler-303 b,
GJ 317 b,79900.37159787084
HD 37605 b,332918.2149911285
WASP-44 b,316605.22245656315
Kepler-260 c,
Kepler-286 c,
CoRoT-12 b,358885.83576043654
CoRoT-1 b,316272.3042415721
HD 125612 c,366210.03649024136
Kepler-267 b,
Kepler-112 c,
GJ 581 b,103204.64664724984
Kepler-173 b,
HD 102117 b,360550.42683539214
Kepler-301 c,
HD 189733 b,268332.08128284954
HD 108863 b,692469.8871815474
Kepler-404 b,
Kepler-285 c,
Kepler-174 c,
Kepler-286 b,
Kepler-206 d,
Kepler-209 c,
HD 1502 b,489389.7760369589
HD 142022 b,299626.39349201566
Kepler-134 c,
Kepler-126 b,
Kepler-329 c,
WASP-72 b,441782.4712932275
HD 212771 b,502706.504636604
Kepler-135 b,
HD 134987 b,350895.79860064946
Kepler-149 b,
Kepler-289 c,
HD 187123 c,345236.18894580024
HD 101930 b,246359.4790934351
Kepler-46 c,300292.2299219979
Kepler-174 d,
Kepler-253 d,
HD 131664 b,366210.03649024136
HIP 57050 b,113192.1930969837
Kepler-9 d,332918.2149911285
Kepler-49 b,183105.01824512068
WASP-67 b,289638.84704228176
HD 147018 c,308615.1852967761
Kepler-32 b,179775.8360952094
HD 92788 b,358885.83576043654
Kepler-83 c,219726.0218941448
CoRoT-26 b,362880.8543403301
HAT-P-12 b,243030.2969435238
Kepler-178 c,
Kepler-82 d,
Kepler-130 d,
HD 154857 b,571953.4933547587
Kepler-355 b,
Kepler-220 c,
Kepler-243 b,
Kepler-297 b,
Kepler-220 b,
Kepler-245 c,
Kepler-25 c,406160.2222891768
HD 163607 b,362880.8543403301
HATS-2 b,293633.86562217533
HD 19994 b,454433.36346289044
WASP-29 b,274657.527367681
OGLE-TR-182 b,379526.76508988644
HD 85512 b,229713.56834387864
HD 106252 b,335248.64249606634
Kepler-222 d,
Kepler-394 b,
18 Del b,775699.4409293294
Kepler-218 b,
Kepler-54 c,169788.28964547554
Kepler-33 b,429797.41555354686
Kepler-391 b,
Kepler-55 e,
Kepler-34 b,348864.9974892035
Kepler-383 b,
HD 171028 b,336247.3971410398
Kepler-336 b,
WASP-1 b,399501.8579893542
XO-5 b,332918.2149911285
HAT-P-3 b,308948.1035117672
Kepler-252 c,
Kepler-247 b,
Kepler-251 e,
Kepler-282 b,
Kepler-354 c,
upsilon And d,436122.8616383783
KOI 4232.01,
KOI 4234.01,
KOI 4235.01,
KOI 2458.02,
KOI 4242.01,
KOI 4245.01,
KOI 4246.01,
KOI 4251.01,
KOI 2485.02,
KOI 4252.01,
KOI 4253.01,
KOI 4255.01,
KOI 4257.01,
KOI 4259.01,
KOI 4261.01,
KOI 2485.03,
KOI 4267.01,
KOI 4268.01,
KOI 4269.01,
KOI 4269.02,
KOI 2498.02,
KOI 4273.01,
KOI 4274.01,
KOI 4276.01,
KOI 4212.01,
KOI 2433.04,
KOI 4212.02,
KOI 4215.01,
KOI 4222.01,
KOI 4226.01,
KOI 4230.01,
KOI 2442.02,
KOI 255.02,
KOI 435.05,
KOI 2175.02,
KOI 4021.01,
KOI 4021.02,
KOI 4022.01,
KOI 4024.01,
KOI 2193.02,
KOI 4032.01,
KOI 868.01,197087.58327474806
KOI 869.01,258677.45304810684
KOI 869.02,258677.45304810684
KOI 869.03,258677.45304810684
KOI 869.04,258677.45304810684
KOI 871.01,334582.8060660841
KOI 873.01,317936.8953165277
KOI 874.01,252684.92517826654
KOI 874.02,252684.92517826654
KOI 875.01,209405.55722941982
KOI 435.06,
KOI 2263.02,
KOI 4117.01,
KOI 4129.01,
KOI 4131.01,
KOI 4135.01,
KOI 2289.02,
KOI 4136.01,
KOI 4136.02,
KOI 877.03,215731.00331425128
KOI 878.01,236371.9326437012
KOI 880.03,306950.5942218205
KOI 880.04,306950.5942218205
KOI 881.01,273991.69093769876
KOI 881.02,273991.69093769876
KOI 883.01,245693.6426634528
KOI 884.01,257345.78018814232
KOI 122.01,356222.4900405075
KOI 4139.01,
KOI 4145.01,
KOI 4149.01,
KOI 4149.02,
KOI 4150.01,
KOI 4152.01,
KOI 4153.01,
KOI 2303.02,
KOI 884.02,257345.78018814232
KOI 884.03,257345.78018814232
KOI 886.03,171119.96250544002
KOI 887.01,322930.66854139464
KOI 890.01,362880.8543403301
KOI 891.01,349564.1257406849
KOI 12.01,419476.9508888219
KOI 123.01,351894.5532456228
KOI 892.01,263005.38984299154
KOI 892.02,263005.38984299154
KOI 893.01,342905.7614408624
KOI 4146.01,
KOI 4156.01,
KOI 4157.01,
KOI 4159.01,
KOI 4160.01,
KOI 112.02,344570.35251581797
KOI 895.01,289638.84704228176
KOI 896.01,304620.1667168826
KOI 896.02,304620.1667168826
KOI 897.01,322930.66854139464
KOI 123.02,351894.5532456228
KOI 898.03,221057.69475410934
KOI 899.01,168456.61678551103
KOI 899.02,168456.61678551103
KOI 899.03,168456.61678551103
KOI 900.01,323596.5049713769
KOI 901.01,204411.7840045529
KOI 2357.02,
KOI 4166.01,
KOI 4169.01,
KOI 746.01,234374.42335375442
KOI 747.01,208073.8843694553
KOI 749.01,303621.4120719092
KOI 749.02,303621.4120719092
KOI 749.03,303621.4120719092
KOI 750.01,239035.27836363026
KOI 751.01,265335.8173479294
KOI 752.01,306284.75779183826
KOI 752.02,306284.75779183826
KOI 753.01,330254.86927119945
KOI 755.01,332918.2149911285
KOI 902.01,209072.63901442869
KOI 907.04,319601.48639148334
KOI 908.01,279651.3005925479
KOI 910.01,265668.73556292057
KOI 911.01,349564.1257406849
KOI 911.02,349564.1257406849
KOI 912.01,203080.1111445884
KOI 912.02,203080.1111445884
KOI 913.01,314607.71316661645
KOI 914.01,319268.56817649223
KOI 916.01,284977.992032406
KOI 4184.01,
KOI 4185.01,
KOI 4188.01,
KOI 4189.01,
KOI 4190.01,
KOI 4192.01,
KOI 756.01,346234.9435907737
KOI 756.02,346234.9435907737
KOI 756.03,346234.9435907737
KOI 757.01,264337.062702956
KOI 757.02,264337.062702956
KOI 757.03,264337.062702956
KOI 758.01,239701.1147936125
KOI 759.01,305618.921361856
KOI 759.02,305618.921361856
KOI 760.01,353892.06253556954
KOI 762.01,351894.5532456228
KOI 763.01,342905.7614408624
KOI 918.01,293633.86562217533
KOI 920.01,303288.49385691807
KOI 921.01,268997.91771283187
KOI 921.02,268997.91771283187
KOI 921.03,268997.91771283187
KOI 922.01,273991.69093769876
KOI 923.01,334582.8060660841
KOI 924.01,366210.03649024136
KOI 926.01,339576.5792909511
KOI 928.01,308282.267081785
KOI 929.01,339576.5792909511
KOI 4202.01,
KOI 2433.03,
KOI 4204.01,
KOI 4205.01,
KOI 4207.01,
KOI 4208.01,
KOI 4209.01,
KOI 115.01,392843.4936895316
KOI 764.01,266334.57199290284
KOI 765.01,308615.1852967761
KOI 766.01,352893.3078905962
KOI 767.01,289638.84704228176
KOI 769.01,309946.8581567406
KOI 771.01,333916.96963610186
KOI 772.01,349564.1257406849
KOI 773.01,334249.88785109296
KOI 115.02,392843.4936895316
KOI 774.01,356222.4900405075
KOI 904.01,210071.3936594021
KOI 124.01,355223.7353955341
KOI 904.04,210071.3936594021
KOI 904.05,210071.3936594021
KOI 906.01,250687.41588831975
KOI 906.02,250687.41588831975
KOI 906.03,250687.41588831975
KOI 907.01,319601.48639148334
KOI 907.02,319601.48639148334
KOI 907.03,319601.48639148334
KOI 124.02,355223.7353955341
KOI 775.03,192093.8100498811
KOI 776.01,297961.80241706
KOI 777.01,285976.74667737936
KOI 778.01,191760.89183489
KOI 780.01,253017.84339325764
KOI 780.02,253017.84339325764
KOI 115.03,392843.4936895316
KOI 781.01,179109.99966522714
KOI 782.01,336247.3971410398
KOI 783.01,287308.4195373439
KOI 784.01,193092.56469485452
KOI 784.02,193092.56469485452
KOI 785.01,308615.1852967761
KOI 4032.02,
KOI 4036.01,
KOI 2194.02,
KOI 4037.01,
KOI 2420.02,
KOI 4194.01,
KOI 4198.01,
KOI 4199.01,
KOI 786.01,330920.7057011817
KOI 787.01,320933.1592514479
KOI 787.02,320933.1592514479
KOI 788.01,258677.45304810684
KOI 116.01,333584.05142111075
KOI 790.01,284645.0738174148
KOI 790.02,284645.0738174148
KOI 791.01,318269.8135315188
KOI 794.01,339576.5792909511
KOI 795.01,322264.83211141237
KOI 797.01,349564.1257406849
KOI 2195.02,
KOI 116.02,333584.05142111075
KOI 800.01,362880.8543403301
KOI 800.02,362880.8543403301
KOI 801.01,289638.84704228176
KOI 802.01,326259.8506913059
KOI 804.01,270995.42700277857
KOI 805.01,288973.01061229955
KOI 116.03,333584.05142111075
KOI 4051.01,
KOI 4053.01,
KOI 4054.01,
KOI 4056.01,
KOI 2195.03,
KOI 809.01,336247.3971410398
KOI 810.01,249022.8248133641
KOI 811.01,234374.42335375442
KOI 812.01,193425.48290984565
KOI 812.02,193425.48290984565
KOI 812.03,193425.48290984565
KOI 116.04,333584.05142111075
KOI 812.04,193425.48290984565
KOI 813.01,305951.8395768471
KOI 814.01,292302.1927622108
KOI 815.01,286309.66489237046
KOI 816.01,316938.1406715543
KOI 817.01,182772.10003012957
KOI 817.02,182772.10003012957
KOI 4060.01,
KOI 4062.01,
KOI 4066.01,
KOI 818.01,176113.73573030697
KOI 117.01,393842.248334505
KOI 821.01,282980.4827424592
KOI 823.01,372868.40079006396
KOI 824.01,241698.62408355926
KOI 825.01,231711.07763382542
KOI 825.02,231711.07763382542
KOI 826.01,323263.58675638575
KOI 2220.04,
KOI 4067.01,
KOI 4068.01,
KOI 4069.01,
KOI 4072.01,
KOI 117.02,393842.248334505
KOI 829.02,354557.8989655518
KOI 830.01,255681.18911318667
KOI 833.01,352893.3078905962
KOI 834.01,322930.66854139464
KOI 834.02,322930.66854139464
KOI 834.03,322930.66854139464
KOI 117.03,393842.248334505
KOI 834.05,322930.66854139464
KOI 835.01,252019.0887482843
KOI 4076.01,
KOI 2220.05,
KOI 4084.01,
KOI 835.02,252019.0887482843
KOI 837.01,250687.41588831975
KOI 837.02,250687.41588831975
KOI 838.01,346234.9435907737
KOI 117.04,393842.248334505
KOI 841.03,331586.542131164
KOI 842.01,223388.12225904723
KOI 842.02,223388.12225904723
KOI 843.01,329589.0328412172
KOI 844.01,301290.9845669713
KOI 2243.02,
KOI 4087.01,
KOI 4091.01,
KOI 4092.01,
KOI 845.01,318602.73174650996
KOI 846.01,336913.23357102205
KOI 847.01,318602.73174650996
KOI 118.01,330920.7057011817
KOI 849.01,279651.3005925479
KOI 850.01,279651.3005925479
KOI 851.01,326259.8506913059
KOI 852.01,292968.02919219306
KOI 853.01,239701.1147936125
KOI 853.02,239701.1147936125
KOI 854.01,173117.47179538684
KOI 855.01,304953.0849318737
KOI 856.01,359551.6721904188
KOI 2250.02,
KOI 4097.01,
KOI 4097.02,
KOI 4098.01,
KOI 4099.01,
KOI 857.01,262672.4716280004
KOI 119.01,296297.21134210436
KOI 857.02,262672.4716280004
KOI 858.01,303288.49385691807
KOI 861.01,272660.0180777342
KOI 863.01,330587.7874861906
KOI 864.01,302955.57564192696
KOI 864.02,302955.57564192696
KOI 864.03,302955.57564192696
KOI 119.02,296297.21134210436
KOI 867.01,257012.8619731512
KOI 2257.02,
KOI 4109.01,
KOI 4120.01,
KOI 4121.01,
KOI 4123.01,
KOI 2287.02,
KOI 4126.01,
KOI 4127.01,
KOI 1212.01,326259.8506913059
KOI 1214.01,309613.93994174956
KOI 1215.01,399168.93977436307
KOI 1215.02,399168.93977436307
KOI 1216.01,349564.1257406849
KOI 1218.01,319268.56817649223
KOI 153.01,248024.07016839075
KOI 1220.01,351894.5532456228
KOI 1221.01,359218.75397542765
KOI 1221.02,359218.75397542765
KOI 167.01,400167.69441933645
KOI 1405.01,365544.20006025914
KOI 1406.01,372868.40079006396
KOI 1408.01,188764.62789996984
KOI 1409.01,325261.0960463325
KOI 1410.01,362880.8543403301
KOI 1412.01,362880.8543403301
KOI 1413.01,294632.6202671487
KOI 1413.02,294632.6202671487
KOI 1413.03,294632.6202671487
KOI 1589.03,339576.5792909511
KOI 1589.04,339576.5792909511
KOI 1589.05,339576.5792909511
KOI 1590.01,239035.27836363026
KOI 1590.02,239035.27836363026
KOI 1590.03,239035.27836363026
KOI 1591.01,279984.21880753903
KOI 1593.01,331919.4603461551
KOI 1593.02,331919.4603461551
KOI 1595.01,340908.25215091556
KOI 1596.01,221723.53118409158
KOI 1596.02,221723.53118409158
KOI 1022.01,309613.93994174956
KOI 1024.01,197087.58327474806
KOI 1029.01,337911.98821599537
KOI 1030.01,389514.3115396203
KOI 1031.01,332918.2149911285
KOI 1032.01,407824.8133641325
KOI 138.01,486060.5938870476
KOI 1226.01,255681.18911318667
KOI 1227.01,314274.7949516253
KOI 153.02,248024.07016839075
KOI 1230.01,489389.7760369589
KOI 1236.01,436122.8616383783
KOI 1236.02,436122.8616383783
KOI 1236.03,436122.8616383783
KOI 1420.01,266334.57199290284
KOI 1421.01,319601.48639148334
KOI 1422.01,171785.79893542232
KOI 1422.02,171785.79893542232
KOI 168.02,396172.6758394429
KOI 1422.03,171785.79893542232
KOI 1423.01,298960.5570620334
KOI 1424.01,241032.78765357702
KOI 1425.01,330587.7874861906
KOI 1426.01,356222.4900405075
KOI 1426.02,356222.4900405075
KOI 186.01,352893.3078905962
KOI 1597.01,466751.33741756214
KOI 1598.01,322930.66854139464
KOI 1598.02,322930.66854139464
KOI 1598.03,322930.66854139464
KOI 1599.01,312943.1220916608
KOI 1601.01,319268.56817649223
KOI 1601.02,319268.56817649223
KOI 1602.01,326925.68712128815
KOI 1603.01,369872.13685514376
KOI 139.01,389847.2297546115
KOI 1050.01,249688.66124334635
KOI 1050.02,249688.66124334635
KOI 1051.01,349564.1257406849
KOI 1052.01,382855.94723979774
KOI 1052.02,382855.94723979774
KOI 1052.03,382855.94723979774
KOI 1238.01,299626.39349201566
KOI 1239.01,352893.3078905962
KOI 1239.02,352893.3078905962
KOI 1240.01,318602.73174650996
KOI 1240.02,318602.73174650996
KOI 1242.01,396172.6758394429
KOI 155.01,318269.8135315188
KOI 1245.01,386185.12938970904
KOI 1246.01,372868.40079006396
KOI 1426.03,356222.4900405075
KOI 1427.01,189097.54611496095
KOI 1428.01,233042.75049378994
KOI 1429.01,326259.8506913059
KOI 1430.01,219726.0218941448
KOI 1430.02,219726.0218941448
KOI 1430.03,219726.0218941448
KOI 1431.01,353892.06253556954
KOI 1432.01,333251.1332061196
KOI 1432.02,333251.1332061196
KOI 1432.03,333251.1332061196
KOI 1432.04,333251.1332061196
KOI 1433.01,323929.423186368
KOI 1434.01,226051.4679789763
KOI 1606.01,338910.7428609688
KOI 1608.01,372868.40079006396
KOI 1608.02,372868.40079006396
KOI 1609.01,376197.58293997514
KOI 1612.01,351228.71681564057
KOI 1613.01,336913.23357102205
KOI 188.01,268664.9994978407
KOI 1615.01,383854.7018847712
KOI 1616.01,391178.902614576
KOI 1618.01,406160.2222891768
KOI 1619.01,221723.53118409158
KOI 1621.01,402498.12192427437
KOI 1622.01,569290.1476348296
KOI 1626.01,336247.3971410398
KOI 1627.01,316272.3042415721
KOI 1627.02,316272.3042415721
KOI 1052.04,382855.94723979774
KOI 1053.01,303621.4120719092
KOI 139.02,389847.2297546115
KOI 1059.01,302955.57564192696
KOI 1060.01,422806.13303873315
KOI 1060.02,422806.13303873315
KOI 1060.03,422806.13303873315
KOI 1060.04,422806.13303873315
KOI 1061.01,326259.8506913059
KOI 156.01,236039.01442871007
KOI 1255.01,322930.66854139464
KOI 1257.01,266334.57199290284
KOI 1258.01,313941.8767366341
KOI 1258.02,313941.8767366341
KOI 1258.03,313941.8767366341
KOI 1261.01,342905.7614408624
KOI 156.02,236039.01442871007
KOI 1435.01,344570.35251581797
KOI 1435.02,344570.35251581797
KOI 1436.01,322930.66854139464
KOI 1436.02,322930.66854139464
KOI 1436.03,322930.66854139464
KOI 1437.01,346234.9435907737
KOI 1438.01,322930.66854139464
KOI 1439.01,409822.3226540792
KOI 1440.01,362880.8543403301
KOI 1441.01,312943.1220916608
KOI 1442.01,337911.98821599537
KOI 1444.01,392843.4936895316
KOI 1445.01,402831.0401392655
KOI 1628.01,409489.4044390881
KOI 189.01,236704.85085869237
KOI 1629.01,381857.1925948244
KOI 1630.01,316272.3042415721
KOI 1632.01,392843.4936895316
KOI 1633.01,282980.4827424592
KOI 1637.01,266334.57199290284
KOI 1639.02,376197.58293997514
KOI 1641.01,349564.1257406849
KOI 1643.01,346234.9435907737
KOI 1646.01,243030.2969435238
KOI 190.01,300292.2299219979
KOI 1647.01,319601.48639148334
KOI 1647.02,319601.48639148334
KOI 1647.03,319601.48639148334
KOI 1648.01,284312.1556024237
KOI 1649.01,177778.32680526262
KOI 1650.01,332918.2149911285
KOI 1651.01,347899.53466572927
KOI 1066.01,339576.5792909511
KOI 1067.01,359551.6721904188
KOI 1069.01,339576.5792909511
KOI 1069.02,339576.5792909511
KOI 141.01,333584.05142111075
KOI 1070.01,352893.3078905962
KOI 1070.02,352893.3078905962
KOI 1070.03,352893.3078905962
KOI 1072.01,356222.4900405075
KOI 1074.01,366210.03649024136
KOI 142.01,354557.8989655518
KOI 1261.02,342905.7614408624
KOI 1264.01,307283.5124368116
KOI 1266.01,208406.80258444644
KOI 1268.01,376197.58293997514
KOI 156.03,236039.01442871007
KOI 1271.01,419476.9508888219
KOI 1273.01,310612.6945867229
KOI 1274.01,266667.4902078939
KOI 1275.01,294299.7020521576
KOI 1276.01,307283.5124368116
KOI 1445.02,402831.0401392655
KOI 1445.03,402831.0401392655
KOI 171.01,401499.367279301
KOI 1452.01,499377.3224866927
KOI 1456.01,359551.6721904188
KOI 1457.01,326259.8506913059
KOI 1458.01,329589.0328412172
KOI 171.02,401499.367279301
KOI 1687.01,228048.97726892304
KOI 1688.01,321266.077466439
KOI 1692.01,340908.25215091556
KOI 191.03,309613.93994174956
KOI 1692.02,340908.25215091556
KOI 1693.01,298960.5570620334
KOI 1700.01,305286.0031468648
KOI 1701.01,522681.5975360717
KOI 1702.01,162131.1707006796
