NAME,MSTAR
,mearth
Kepler-144 c,
HD 20794 b,233042.75049378994
Kepler-115 c,
Kepler-320 c,
HD 195019 b,341241.17036590667
Kepler-274 c,
GJ 832 b,149813.19674600783
Kepler-26 e,
GJ 667 C b,109863.0109470724
Kepler-254 d,
CoRoT-19 b,402831.0401392655
Kepler-264 b,
Kepler-122 c,
Kepler-142 b,
alpha Ari b,442781.2259382009
Kepler-240 c,
61 Vir b,313608.958521643
Kepler-298 b,
HD 210702 b,569290.1476348296
Kepler-363 d,
HAT-P-4 b,415481.93230892834
HAT-P-21 b,315273.54959659866
Kepler-215 d,
Kepler-232 c,
Kepler-346 b,
Kepler-330 c,
alpha Cen B b,310945.61280171404
mu Ara b,381857.1925948244
WASP-45 b,302622.6574269358
HD 73526 c,337579.07000100426
Kepler-382 c,
Kepler-333 c,
Kepler-17 b,386185.12938970904
14 Her b,354890.817180543
HAT-P-33 b,467084.2556325533
Kepler-166 c,
OGLE-05-169L b,163129.92534565294
HIP 79431 b,163129.92534565294
HD 171238 b,313941.8767366341
Kepler-272 c,
Kepler-157 c,
HIP 5158 b,259676.2076930802
Kepler-308 c,
WASP-46 b,318269.8135315188
Kepler-157 b,
GJ 849 b,163129.92534565294
Kepler-52 d,
Kepler-197 c,
Kepler-163 b,
Kepler-121 c,
Kepler-191 b,
Kepler-123 b,
Kepler-320 b,
HAT-P-1 b,377196.3375849486
Kepler-186 f,159134.9067657594
Kepler-201 b,
OGLE2-TR-L9 b,506035.6867865153
Kepler-54 b,169788.28964547554
Kepler-355 c,
Kepler-375 c,
Kepler-137 b,
Kepler-85 d,
Kepler-224 c,
WASP-22 b,366210.03649024136
WASP-2 b,292968.02919219306
Kepler-392 b,
Kepler-247 c,
HD 164922 b,308615.1852967761
Kepler-271 b,
Kepler-30 c,329589.0328412172
Kepler-190 c,
tau Gru b,412152.75015901704
WASP-34 b,336247.3971410398
Kepler-397 c,
HD 96063 b,469414.68313749117
HAT-P-22 b,304953.0849318737
Kepler-221 b,
CoRoT-7 b,309613.93994174956
HD 5608 b,552644.2368852732
Kepler-172 e,
Kepler-178 b,
Kepler-147 c,
HATS-1 b,328257.3599812527
Kepler-378 c,
HD 80606 b,318935.64996150107
Kepler-158 b,
Kepler-45 b,196421.7468447658
Kepler-68 b,359218.75397542765
Kepler-308 b,
WASP-78 b,442781.2259382009
Kepler-108 c,
HD 86264 b,466085.5009875799
Kepler-266 c,
Kepler-239 c,
HD 82943 c,377196.3375849486
Kepler-205 c,
Kepler-319 b,
Kepler-162 c,
Kepler-126 c,
Kepler-384 c,
GJ 581 d,103204.64664724984
iota Hor b,381191.35616484215
HD 37124 d,282980.4827424592
HD 192263 b,267666.2448528673
HD 204313 b,347899.53466572927
Kepler-212 c,
Kepler-53 c,326259.8506913059
Kepler-321 b,
Kepler-402 d,
Kepler-339 d,
TrES-3 b,304620.1667168826
Kepler-188 b,
HIP 14810 b,329589.0328412172
Kepler-10 c,297961.80241706
HD 90156 b,279651.3005925479
Kepler-259 c,
Kepler-304 d,
Kepler-150 e,
Kepler-218 c,
Pr 211 b,316938.1406715543
Kepler-203 b,
Kepler-6 b,402498.12192427437
Kepler-244 d,
24 Sex c,602581.9691339426
Kepler-358 b,
Kepler-373 c,
HD 60532 c,479402.229587225
Kepler-299 b,
Kepler-140 c,
Kepler-23 d,
HD 68988 b,374200.07365002844
Kepler-84 b,332918.2149911285
HAT-P-26 b,271661.26343276084
Kepler-292 f,
Kepler-20 e,303621.4120719092
Kepler-296 d,
HD 149143 b,399501.8579893542
Kepler-62 d,229713.56834387864
HD 79498 b,352893.3078905962
Kepler-298 d,
Kepler-269 b,
Kepler-248 b,
HD 181433 c,259676.2076930802
70 Vir b,366542.95470523246
HD 102365 b,296297.21134210436
BD -08 2823 b,246359.4790934351
Kepler-160 b,
CoRoT-11 b,422806.13303873315
Kepler-369 c,
Kepler-142 d,
Kepler-398 b,
Kepler-299 d,
GJ 436 b,150479.03317599007
Kepler-142 c,
Kepler-181 c,
Kepler-364 b,
Kepler-173 c,
HD 41004 B b,133167.28599645142
Kepler-290 b,
WASP-37 b,307949.3488667939
Kepler-223 c,
HD 6718 b,319601.48639148334
Kepler-224 e,
Kepler-322 c,
HD 33636 b,338577.82464597764
Kepler-163 c,
HAT-P-40 b,503372.34106658626
HD 240237 b,562631.7833350071
Kepler-169 f,
Kepler-283 b,
rho CrB b,321266.077466439
Kepler-214 b,
Kepler-314 b,
Kepler-188 c,
Kepler-233 b,
Kepler-118 b,
Kepler-110 b,
HD 11977 b,769041.0766295068
HD 73534 b,389514.3115396203
Kepler-195 b,
Kepler-50 c,409489.4044390881
HD 164604 b,266334.57199290284
Kepler-359 b,
Kepler-359 d,
Kepler-115 b,
OGLE-05-071L b,153142.37889591913
OGLE235-MOA53 b,209738.47544441096
HD 37124 c,282980.4827424592
HD 217107 c,368873.38221017044
HD 74156 b,412152.75015901704
Kepler-180 b,
HD 103774 b,444445.81701315654
Kepler-43 b,439452.0437882896
Kepler-310 b,
Kepler-222 c,
KELT-6 b,361216.2632653744
WASP-13 b,362880.8543403301
Kepler-84 b,332918.2149911285
HD 13931 b,340242.41572093335
Kepler-58 d,
HAT-P-18 b,256347.02554316894
Kepler-357 b,
HD 155358 c,289638.84704228176
WASP-43 b,193092.56469485452
Kepler-159 c,
Kepler-39 b,366210.03649024136
14 And b,715774.1622309262
Kepler-215 b,
Kepler-294 b,
Kepler-29 b,332918.2149911285
Kepler-24 b,342905.7614408624
Kepler-306 b,
Kepler-83 b,219726.0218941448
81 Cet b,579277.6940845635
CoRoT-3 b,456097.9545378461
Kepler-377 b,
Kepler-126 d,
