NAME,MASS
HD 154857 b,4.268220639e+27
HD 131496 b,4.2552715050000005e+27
HAT-P-14 b,4.245550161e+27
NN Ser c,4.254967713e+27
6 Lyn b,4.1940004560000005e+27
HD 159868 b,4.1772159480000003e+27
Kepler-40 b,4.133166108e+27
HAT-P-31 b,4.118356247999999e+27
HD 4313 b,4.1234637510000005e+27
HD 216437 b,4.116704379e+27
HAT-P-22 b,4.084806219e+27
HD 118203 b,4.0560599009999996e+27
HD 147018 b,4.0387437569999997e+27
HD 98219 b,4.0319464110000007e+27
Kepler-5 b,4.018845381e+27
HIP 79431 b,4.011934113e+27
WASP-46 b,3.9916749840000004e+27
HAT-P-23 b,3.979789122e+27
HD 4203 b,3.9533782049999996e+27
WASP-61 b,3.901657617e+27
iota Hor b,3.8863161209999997e+27
HD 222155 b,3.8473927710000006e+27
WASP-3 b,3.8198806079999997e+27
Kepler-30 c,3.8236969950000007e+27
HD 20868 b,3.814507287e+27
HD 136418 b,3.78505845e+27
HD 171028 b,3.774786483e+27
kappa CrB b,3.7493628899999996e+27
HD 206610 b,3.742584531e+27
HD 5388 b,3.731116383e+27
HAT-P-15 b,3.705388998e+27
GJ 876 b,3.69657903e+27
HD 200964 b,3.700053651e+27
HD 12661 c,3.6999966900000004e+27
HD 187123 c,3.68765514e+27
upsilon And c,3.642750885e+27
HD 70642 b,3.625453728e+27
TrES-3 b,3.626517e+27
HD 116029 b,3.6217702500000003e+27
HD 159243 c,3.6075299999999997e+27
HD 20782 b,3.6075299999999997e+27
HD 28678 b,3.6069603899999995e+27
HD 190647 b,3.6131501519999996e+27
KOI 3663.01,3.620298124817649e+27
KOI 1268.01,3.620298124817649e+27
KOI 3660.01,3.620298124817649e+27
KOI 897.01,3.620298124817649e+27
KOI 611.01,3.620298124817649e+27
KOI 858.01,3.620298124817649e+27
KOI 3830.01,3.620298124817649e+27
KOI 3411.01,3.620298124817649e+27
KOI 3767.01,3.620298124817649e+27
KOI 855.01,3.620298124817649e+27
KOI 3689.01,3.620298124817649e+27
KOI 186.01,3.620298124817649e+27
KOI 4390.01,3.620298124817649e+27
KOI 809.01,3.620298124817649e+27
KOI 2513.01,3.620298124817649e+27
KOI 1906.01,3.620298124817649e+27
KOI 217.01,3.620298124817649e+27
KOI 3726.01,3.620298124817649e+27
KOI 22.01,3.620298124817649e+27
KOI 838.01,3.620298124817649e+27
KOI 767.01,3.620298124817649e+27
KOI 771.01,3.620298124817649e+27
KOI 417.01,3.620298124817649e+27
KOI 856.01,3.620298124817649e+27
KOI 805.01,3.620298124817649e+27
KOI 772.01,3.620298124817649e+27
KOI 5816.01,3.620298124817649e+27
KOI 1658.01,3.620298124817649e+27
KOI 3801.01,3.620298124817649e+27
KOI 2679.01,3.620298124817649e+27
KOI 422.01,3.620298124817649e+27
KOI 425.01,3.620298124817649e+27
KOI 3692.01,3.620298124817649e+27
KOI 774.01,3.620298124817649e+27
KOI 51.01,3.620298124817649e+27
KOI 208.01,3.620298124817649e+27
KOI 674.01,3.620298124817649e+27
KOI 3771.01,3.620298124817649e+27
KOI 3780.01,3.620298124817649e+27
KOI 1426.03,3.620298124817649e+27
KOI 193.01,3.620298124817649e+27
KOI 846.01,3.620298124817649e+27
KOI 94.01,3.620298124817649e+27
KOI 802.01,3.620298124817649e+27
KOI 2133.01,3.620298124817649e+27
KOI 728.01,3.5900702444297593e+27
KOI 686.01,3.620298124817649e+27
KOI 340.01,3.620298124817649e+27
KOI 1547.01,3.620298124817649e+27
KOI 895.01,3.620298124817649e+27
KOI 183.01,3.620298124817649e+27
KOI 1463.01,3.620298124817649e+27
KOI 195.01,3.620298124817649e+27
KOI 763.01,3.620298124817649e+27
KOI 3783.01,3.620298124817649e+27
KOI 12.01,3.620298124817649e+27
KOI 3784.01,3.620298124817649e+27
mu Ara c,3.586777209e+27
HD 142245 b,3.589264506e+27
M 67 SAND 364 b,3.5747584379999997e+27
HD 13931 b,3.5718914009999996e+27
HD 73256 b,3.548708274e+27
HD 210702 b,3.540297033e+27
HATS-1 b,3.541208409e+27
HD 30856 b,3.526284627e+27
Pr 211 b,3.501088878e+27
24 Sex b,3.485329668e+27
HD 45350 b,3.486279018e+27
HAT-P-36 b,3.492146001e+27
HD 9446 c,3.447051876e+27
HD 117207 b,3.4535454300000003e+27
HD 8574 b,3.4291091610000004e+27
HD 68988 b,3.4175081039999995e+27
HD 158038 b,3.4067424749999995e+27
WASP-37 b,3.405546294e+27
HAT-P-7 b,3.40171092e+27
HD 89307 b,3.401483076e+27
TrES-5 b,3.37607847e+27
xi Aql b,3.3780151440000003e+27
WASP-43 b,3.372262083e+27
HD 74156 b,3.367192554e+27
WASP-77 A b,3.341712e+27
HD 87883 b,3.3335665770000003e+27
HD 50499 b,3.312718851e+27
mu Ara b,3.314218824e+27
KOI 421.01,3.286812365638355e+27
KOI 931.01,3.286812365638355e+27
KOI 913.01,3.286812365638355e+27
KOI 1074.01,3.286812365638355e+27
KOI 1496.01,3.286812365638355e+27
KOI 883.01,3.343060046910405e+27
HAT-P-49 b,3.283972533e+27
alpha Ari b,3.259346394e+27
omega Ser b,3.2293659210000003e+27
HD 5319 b,3.22475208e+27
HD 82943 b,3.199537344e+27
HD 142415 b,3.1555254779999996e+27
HD 4113 b,3.129608223e+27
16 Cyg B b,3.113811039e+27
HD 167042 b,3.107830134e+27
HD 2952 b,3.076292727e+27
WASP-5 b,3.083925501e+27
HD 204313 d,3.0501096539999996e+27
XO-4 b,3.042742698e+27
HD 82943 c,3.017717832e+27
KOI 199.01,3.0322254844341345e+27
KOI 191.01,3.0322254844341345e+27
HD 180902 b,2.969471865e+27
HD 134987 b,2.968560489e+27
HD 6718 b,2.96026317e+27
HD 190360 b,2.9147323440000005e+27
KELT-2 A b,2.887239168e+27
gamma Cep b,2.880859536e+27
BD +14 4559 b,2.884675923e+27
24 Sex c,2.8806316920000004e+27
HD 152581 b,2.8741571249999996e+27
HD 86081 b,2.8403602649999995e+27
HD 132563 B b,2.8337527890000004e+27
WASP-103 b,2.825094717e+27
HD 205739 b,2.8235187959999996e+27
omicron CrB b,2.805063432e+27
MOA-2010-BLG-477L b,2.8480499999999997e+27
HD 5608 b,2.7981521639999997e+27
KOI 698.01,2.753899985897871e+27
KOI 760.01,2.8137253570433883e+27
KOI 1288.01,2.753899985897871e+27
WASP-50 b,2.7957218279999997e+27
HD 188015 b,2.790272559e+27
KELT-3 b,2.7752158680000004e+27
HD 128311 b,2.76678564e+27
HD 220773 b,2.7526403249999997e+27
HIP 5158 b,2.7081727710000004e+27
HD 33142 b,2.679768219e+27
WASP-72 b,2.6728189770000004e+27
HD 23127 b,2.667426669e+27
HD 99706 b,2.663667243e+27
HD 217107 b,2.660306544e+27
OGLE-TR-56 b,2.6391929999999997e+27
epsilon Ret b,2.613921303e+27
KOI 1935.01,2.623049787638223e+27
KOI 1552.01,2.623049787638223e+27
KOI 682.01,2.623049787638223e+27
HD 114386 b,2.58925719e+27
WASP-12 b,2.583428181e+27
HD 79498 b,2.556257784e+27
HATS-2 b,2.561631105e+27
HD 30562 b,2.5300936980000004e+27
HD 100655 b,2.531954424e+27
HD 149143 b,2.5216824569999995e+27
HD 19994 b,2.519214147e+27
HD 177830 b,2.505657429e+27
KOI 433.02,2.4544750599899333e+27
CoRoT-13 b,2.489176713e+27
HD 7449 b,2.49318297e+27
HD 142 b,2.47913259e+27
HD 82886 b,2.477366799e+27
HAT-P-8 b,2.455702632e+27
HD 108874 b,2.44970274e+27
HIP 14810 c,2.4211842659999998e+27
HD 210277 b,2.416570425e+27
WASP-64 b,2.413950219e+27
KOI 3680.01,2.4106428051635406e+27
BD +48 738 b,2.40261498e+27
OGLE-TR-113 b,2.392362e+27
WASP-4 b,2.322318957e+27
HD 121504 b,2.32078101e+27
tau Gru b,2.30635089e+27
HD 65216 b,2.3095027320000003e+27
KOI 366.01,2.3038696656002315e+27
HD 48265 b,2.290686615e+27
TrES-2 b,2.279788077e+27
HD 147513 b,2.2398014550000003e+27
OGLE-TR-132 b,2.240466e+27
HAT-P-37 b,2.2283522940000003e+27
GJ 317 b,2.2310674349999998e+27
HD 28254 b,2.20515018e+27
HD 100777 b,2.212023474e+27
KOI 1271.01,2.1681527786261113e+27
XO-5 b,2.1882707369999999e+27
HD 96063 b,2.167688829e+27
HD 189733 b,2.17135332e+27
HD 148427 b,2.171296359e+27
WASP-47 b,2.157796602e+27
WASP-19 b,2.1519675929999998e+27
HD 159243 b,2.145531e+27
HD 95089 b,2.1441069750000002e+27
CoRoT-19 b,2.103607704e+27
KOI 5018.01,2.1051184673488361e+27
HD 114783 b,2.0981584350000002e+27
WASP-24 b,2.0714816999999998e+27
Qatar-1 b,2.069184273e+27
HD 231701 b,2.063260329e+27
HD 73534 b,2.0283432359999998e+27
HD 52265 b,2.034248193e+27
HIP 91258 b,2.0278116e+27
rho CrB b,2.020387683e+27
HAT-P-6 b,2.0118055589999998e+27
HAT-P-35 b,2.001647514e+27
KOI 375.01,2.0449655454140951e+27
HAT-P-5 b,2.0042867069999998e+27
epsilon Eri b,2.0021411760000002e+27
KOI 5660.01,2.0449655454140951e+27
KOI 2299.01,2.0449655454140951e+27
HD 130322 b,1.9805149830000002e+27
CoRoT-1 b,1.955262273e+27
HD 60532 b,1.9647747599999998e+27
HD 108874 c,1.952566119e+27
OGLE-TR-182 b,1.9452181499999998e+27
Kepler-44 b,1.9387435830000002e+27
Kepler-87 b,1.9392942059999998e+27
WASP-26 b,1.9318513020000001e+27
WASP-45 b,1.911174459e+27
KOI 1096.01,1.9324618923936857e+27
WASP-48 b,1.8687688931999998e+27
HD 154345 b,1.8168679287e+27
HD 25171 b,1.8155445348e+27
HAT-P-32 b,1.8052953522e+27
HD 185269 b,1.8117623244e+27
HD 102956 b,1.8066073539000003e+27
KOI 1193.01,1.829170122164514e+27
HD 200964 c,1.7956423613999999e+27
HD 114729 b,1.7938120146000002e+27
WASP-41 b,1.7705244591e+27
TrES-4 b,1.7562975e+27
HD 10647 b,1.7563677518999998e+27
WASP-7 b,1.7454350372999999e+27
CoRoT-12 b,1.7452470660000003e+27
XO-1 b,1.7438875968e+27
WASP-1 b,1.7430066e+27
WASP-2 b,1.7252708432999998e+27
HD 179949 b,1.7127698024999998e+27
KOI 192.01,1.7338983172865094e+27
KOI 918.01,1.7338983172865094e+27
WASP-79 b,1.6851228318000002e+27
WASP-44 b,1.6895316132000002e+27
WASP-58 b,1.6924613073e+27
WASP-78 b,1.6784451039e+27
WASP-23 b,1.6560955061999999e+27
KOI 201.01,1.6456678737186351e+27
KOI 620.02,1.6456678737186351e+27
HD 13908 b,1.6423755e+27
WASP-59 b,1.6311636765e+27
HAT-P-13 b,1.627337796e+27
HD 148156 b,1.6093609044e+27
Kepler-68 d,1.6051856631e+27
CoRoT-9 b,1.6016749668e+27
WASP-16 b,1.5992636178e+27
GJ 849 b,1.5776032482e+27
MOA-2007-BLG-400L b,1.575921e+27
GJ 179 b,1.5649901841e+27
HD 155358 b,1.5559542708e+27
KOI 189.01,1.5479505664652127e+27
HD 4208 b,1.5331186059e+27
HD 155358 c,1.5323097597000002e+27
HD 197037 b,1.5328660788e+27
HD 187085 b,1.5259737978e+27
KOI 1176.01,1.5324520274795862e+27
HD 134987 c,1.5283129962e+27
HD 38529 b,1.5251554581e+27
55 Cnc b,1.5217529877000002e+27
HAT-P-41 b,1.5194422697999998e+27
HD 34445 b,1.5009337422e+27
KOI 351.01,1.487208954999099e+27
HAT-P-29 b,1.4790948948e+27
KOI 830.01,1.4652644401395435e+27
HAT-P-9 b,1.4745323186999999e+27
HD 163607 b,1.4598287859e+27
HD 109246 b,1.4583629895e+27
HAT-P-33 b,1.4550516567e+27
OGLE-TR-211 b,1.4378418399e+27
TrES-1 b,1.4287413708e+27
KOI 1089.01,1.4157190199764512e+27
KOI 1486.01,1.4157190199764512e+27
KOI 1066.01,1.4157190199764512e+27
HD 156411 b,1.3911983756999998e+27
HD 207832 c,1.3866092178e+27
HD 159868 c,1.386051e+27
OGLE-2006-BLG-109L b,1.3803548999999998e+27
CoRoT-4 b,1.3621634553e+27
WASP-35 b,1.3615539725999998e+27
HD 224693 b,1.3567996278e+27
KOI 1299.01,1.3487012592830043e+27
KOI 824.01,1.3487012592830043e+27
KOI 211.01,1.3487012592830043e+27
HAT-P-30 b,1.3501427856e+27
HD 9446 b,1.3267527003e+27
HD 209458 b,1.3094308601999998e+27
HAT-P-24 b,1.3022366859e+27
HD 37124 d,1.3037423549999999e+27
HD 96167 b,1.2997930590000001e+27
HD 8535 b,1.2952855452000003e+27
KOI 1546.01,1.2857297358692384e+27
KOI 2042.01,1.2857297358692384e+27
WASP-57 b,1.2833066469e+27
HD 37124 b,1.2804282177000002e+27
HAT-P-4 b,1.2749903409e+27
upsilon And b,1.2707562399e+27
Kepler-6 b,1.2709442112e+27
Kepler-74 b,1.266641757e+27
HD 170469 b,1.2696151212e+27
Kepler-15 b,1.2577577397e+27
HD 45364 c,1.2503186331e+27
HD 37124 c,1.2305645583e+27
KOI 490.02,1.226435143613964e+27
KOI 1421.01,1.226435143613964e+27
KOI 1456.01,1.226435143613964e+27
HD 216770 b,1.2283202949000001e+27
HD 63765 b,1.2224343249000001e+27
NN Ser d,1.2201444927e+27
GJ 832 b,1.2232925373e+27
HD 181433 c,1.2159578592e+27
HD 192263 b,1.2139946034e+27
WASP-54 b,1.201364451e+27
KOI 2640.01,1.2036732765333197e+27
HAT-P-28 b,1.1920665171e+27
KOI 3683.01,1.1893230067569686e+27
HD 330075 b,1.1842647588e+27
OGLE-TR-10 b,1.177194e+27
HAT-P-40 b,1.17757374e+27
HD 27894 b,1.1732541974999999e+27
HAT-P-27 b,1.1724187694999999e+27
KOI 868.01,1.1704952883598076e+27
KOI 1466.01,1.1704952883598076e+27
KOI 1474.01,1.1704952883598076e+27
GJ 876 c,1.1623233816e+27
HD 11964 b,1.1546108622000001e+27
WASP-56 b,1.1494444994999999e+27
HAT-P-39 b,1.1376934451999998e+27
HAT-P-3 b,1.1310783744e+27
HD 43197 b,1.1332732715999999e+27
HD 44219 b,1.1188374555000001e+27
Kepler-8 b,1.1121483353999999e+27
WASP-34 b,1.1076142398000001e+27
HIP 14810 d,1.10238522e+27
KOI 3787.01,1.1023281370468392e+27
WASP-25 b,1.0983409890000001e+27
KOI 3837.01,1.0872764378633758e+27
WASP-55 b,1.0844861751000001e+27
XO-2 b,1.0756894980000001e+27
KOI 3678.01,1.0769828031111959e+27
HAT-P-25 b,1.0769065647000001e+27
KOI 1798.01,1.067582414835768e+27
KOI 1675.01,1.067582414835768e+27
KOI 1761.01,1.067582414835768e+27
KOI 353.01,1.067582414835768e+27
HD 207832 b,1.0712009712e+27
KOI 1356.01,1.067582414835768e+27
KOI 797.01,1.067582414835768e+27
WASP-62 b,1.0675820490000001e+27
WASP-22 b,1.0614853232999999e+27
WASP-80 b,1.0476324081e+27
47 UMa c,1.0362610938000001e+27
OGLE-TR-111 b,1.0442850000000001e+27
mu Ara e,1.0316054813999999e+27
WASP-15 b,1.0306086639e+27
Pr 201 b,1.0255922985000001e+27
WASP-11 b,1.0248328185e+27
CoRoT-16 b,1.0214664234e+27
KOI 131.01,1.0201391505158812e+27
KOI 601.02,1.0201391505158812e+27
KOI 753.01,1.0201391505158812e+27
HD 181433 d,1.0167196734000001e+27
HAT-P-1 b,1.0108090203e+27
OGLE-2011-BLG-0251 b,1.006311e+27
HAT-P-17 b,1.0066109946e+27
HIP 57274 d,1.0036015551e+27
HD 175541 b,1.0018110810000002e+27
WASP-6 b,9.899062320000002e+26
HD 208487 b,9.725141400000001e+26
Kepler-45 b,9.711831513e+26
HD 187123 b,9.684433272e+26
WASP-17 b,9.655781889e+26
HD 99109 b,9.573207426e+26
HD 31253 b,9.520594448999999e+26
WASP-42 b,9.435931416e+26
Kepler-41 b,9.370938915e+26
KOI 1391.01,9.32292346875085e+26
KOI 5517.01,9.32292346875085e+26
KOI 435.02,9.32292346875085e+26
KOI 75.01,9.32292346875085e+26
HD 164509 b,9.120082671e+26
KOI 209.01,9.116741182104869e+26
WASP-31 b,9.101019723e+26
CoRoT-26 b,9.103867772999999e+26
WASP-13 b,9.102101982e+26
HD 2638 b,9.062969775000001e+26
Fomalhaut b,9.4935e+26
KOI 823.01,8.9155539601005e+26
KOI 929.01,8.9155539601005e+26
KOI 801.01,8.9155539601005e+26
HD 45652 b,8.894422175999999e+26
CoRoT-5 b,8.782190018999999e+26
51 Peg b,8.755722141e+26
HD 75289 b,8.734779479999999e+26
WASP-52 b,8.680191855e+26
HD 102195 b,8.597294613e+26
KOI 4939.01,8.470855299041604e+26
KOI 1335.01,8.527482475261451e+26
Kepler-7 b,8.311711145999999e+26
KOI 3331.01,8.294530540966326e+26
Kepler-12 b,8.201548572e+26
KOI 1095.01,8.157426899054497e+26
KOI 1995.01,8.157426899054497e+26
KOI 1783.01,8.157426899054497e+26
KOI 908.01,8.157426899054497e+26
KOI 372.01,8.230054113310597e+26
KELT-6 b,8.187574139999999e+26
Kepler-77 b,8.182580559e+26
BD -10 3166 b,8.162568260999999e+26
KOI 1431.01,7.978787760981127e+26
WASP-67 b,7.96143897e+26
KOI 1796.01,7.804225573247544e+26
KOI 850.01,7.804225573247544e+26
HIP 57274 c,7.786492752e+26
HD 6434 b,7.541541465e+26
HD 83443 b,7.516098885e+26
HD 212301 b,7.521700049999999e+26
KOI 3815.01,7.549746560369005e+26
M 67 YBP 1514 b,7.545775566e+26
KOI 458.01,7.466822931708142e+26
KOI 188.01,7.466822931708142e+26
HD 126614 A b,7.323399822e+26
HD 63454 b,7.301754642e+26
WASP-49 b,7.181471997e+26
WASP-63 b,7.178908751999999e+26
KOI 1320.01,7.144257202293103e+26
KOI 890.01,7.144257202293103e+26
KOI 3749.01,7.081445815659787e+26
KOI 1477.01,7.144257202293103e+26
HD 181720 b,7.062974129999999e+26
HD 103774 b,6.988241297999999e+26
HD 93083 b,6.990557711999999e+26
HD 149026 b,6.863249877e+26
KOI 398.01,6.835649829532313e+26
KOI 777.01,6.835649829532313e+26
KOI 206.01,6.835649829532313e+26
HD 164922 b,6.795959949e+26
HIP 12961 b,6.727359918e+26
HD 47186 c,6.612887295e+26
M 67 YBP 1194 b,6.575729736000002e+26
KOI 1787.01,6.540196337811555e+26
KOI 680.01,6.540196337811555e+26
KOI 466.01,6.540196337811555e+26
KOI 1465.01,6.540196337811555e+26
HD 38283 b,6.420586959e+26
Kepler-16 b,6.322671e+26
KOI 415.01,6.257158406549551e+26
KOI 614.01,6.257158406549551e+26
HD 33283 b,6.268956777e+26
BD -08 2823 c,6.229653687e+26
HD 215497 c,6.218698188e+26
GJ 649 b,6.177249567e+26
KOI 1439.01,5.985856970002865e+26
WASP-21 b,5.7012644639999995e+26
KOI 1788.01,5.725666187223021e+26
KOI 554.01,5.725666187223021e+26
KOI 1426.02,5.725666187223021e+26
KOI 205.01,5.725666187223021e+26
KOI 2659.01,5.725666187223021e+26
KOI 813.01,5.725666187223021e+26
HD 101930 b,5.680663569e+26
HIP 57050 b,5.653094445e+26
HD 88133 b,5.6222025959999995e+26
HD 7199 b,5.601506766e+26
HAT-P-19 b,5.549387451e+26
KOI 1986.01,5.476008154146246e+26
KOI 1209.01,5.476008154146246e+26
WASP-39 b,5.398725606e+26
HD 109749 b,5.215159290000001e+26
KOI 319.01,5.2363482512009014e+26
OGLE-2006-BLG-109L c,5.145477e+26
CoRoT-25 b,5.12649e+26
HAT-P-38 b,5.080332603e+26
HD 204941 b,5.06744043e+26
KOI 5379.01,4.983679967743489e+26
KOI 1457.01,5.0061910372297964e+26
KOI 1553.01,5.0061910372297964e+26
HD 108147 b,4.898627013e+26
KOI 139.01,4.872465302828243e+26
KOI 197.01,4.785076614762851e+26
KOI 505.05,4.828597041030334e+26
KOI 2674.01,4.785076614762851e+26
KOI 1684.01,4.785076614762851e+26
KOI 401.02,4.806793557141587e+26
KOI 1359.02,4.785076614762851e+26
HD 16141 b,4.740142524e+26
Kepler-9 b,4.7267187149999995e+26
KOI 5416.01,4.711880795370871e+26
HD 168746 b,4.653770661e+26
WASP-29 b,4.6136701170000004e+26
KOI 607.01,4.572577403375821e+26
KOI 3791.01,4.591360117677983e+26
KOI 401.01,4.635446800168412e+26
KOI 1255.01,4.572577403375821e+26
HD 76700 b,4.407680154e+26
KOI 3835.01,4.3682952675308605e+26
KOI 791.01,4.3682952675308605e+26
KOI 1257.01,4.3682952675308605e+26
KOI 523.01,4.3682952675308605e+26
KOI 3891.01,4.4287396998311244e+26
KOI 214.01,4.3682952675308605e+26
MOA-2008-BLG-310L b,4.3670099999999996e+26
HD 3651 b,4.347548325000001e+26
HD 137388 b,4.325542392e+26
HD 46375 b,4.313865387e+26
KOI 3770.01,4.3026214010814395e+26
KOI 1411.01,4.2691186004224774e+26
KOI 3263.01,4.171858953305812e+26
