# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, temp_calculated, temp_measured, hot_point_lon, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, alternate_names, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff
HD 37124 d,0.696,0.059,0.059,,,,1862.0,38.0,38.0,2.807,0.038,0.038,0.16,0.14,0.14,0.085061,,,,,,,,,,,,,,,,,,,,1,2003,2013-05-20,0.0,,,2448558.0,11.0,11.0,detected by radial velocity,,,HD 37124,84.2583333,20.7305556,7.68,,,,,33.0,-0.442,0.83,0.82,G4 V,3.33,5610.0
HD 37605 b,2.813,0.032,0.032,,,,55.01307,0.00063,0.00063,0.2837,0.0016,0.0016,0.6767,0.0019,0.0019,0.006613,,,,,,,,,,,,,,,,,,,,1,2004,2012-10-29,220.86,0.27,0.27,2453378.241,0.02,0.02,detected by radial velocity,,,HD 37605,85.0041667,6.0605556,8.66,,,,,44.0,0.34,1.0,0.9,K0V,7.0,5448.0
HD 37605 c,3.366,0.072,0.072,,,,2720.0,57.0,57.0,3.814,0.058,0.058,0.013,0.015,0.015,,,,,,,,,,,,,,,,,,,,,1,2012,2012-10-29,221.0,78.0,78.0,2454838.0,581.0,581.0,detected by radial velocity,,,HD 37605,85.0041667,6.0605556,8.66,,,,,44.0,0.34,1.0,0.9,K0V,7.0,5448.0
HD 38283 b,0.34,0.02,0.02,,,,363.2,1.6,1.6,1.02,0.07,0.07,0.41,0.16,0.16,0.027056,,,,,,,,,,,,,,,,,,,,1,2011,2011-04-13,,,,2450802.6,12.0,12.0,detected by radial velocity,,,HD 38283,84.2583333,-73.6994444,6.7,,,,,37.7,-0.24,1.085,,F9.5V,5.4,5945.0
HD 38529 b,0.78,,,,,,14.3104,0.0002,0.0002,0.131,0.0015,0.0015,0.248,0.007,0.007,0.003335,57.0,14.0,14.0,,,,,,,,,,,,,,,,,1,2000,2011-05-11,95.9,1.7,1.7,50020.19,0.08,0.08,detected by radial velocity,,,HD 38529,86.6416667,1.1680556,5.94,,,,,39.28,0.27,1.48,2.44,G4 IV,3.28,5697.0
HD 38529 c,17.7,1.2,1.5,,,,2134.76,0.4,0.4,3.695,0.042,0.042,0.36,0.003,0.003,0.094068,48.3,4.0,4.0,,,,,,,,,,,,,,,,,1,2002,2010-03-02,22.52,0.7,0.7,48002.0,6.2,6.2,detected by radial velocity,,,HD 38529,86.6416667,1.1680556,5.94,,,,,39.28,0.27,1.48,2.44,G4 IV,3.28,5697.0
HD 38801 b,10.7,0.5,0.5,,,,696.3,2.7,2.7,1.7,0.037,0.037,0.0,,,0.017103,,,,,,,,,,,,,,,,,,,,1,2010,2010-12-15,,,,2453966.0,2.1,2.1,detected by radial velocity,,,HD 38801,86.9958333,-8.3277778,8.26,,,,,99.4,0.26,1.36,2.53,K0IV,4.67,5222.0
HD 38858 b,0.0961,0.012,0.012,,,,407.15,4.2857,4.2857,1.0376,0.0189,0.0189,0.27,0.17,0.17,0.068263,,,,,,,,,,,,,,,,,,,,2,2011,2011-09-12,,,,,,,detected by radial velocity,,,HD 38858,87.1458333,-4.0947222,5.97,,,,,15.2,,,,G4V,,
HD 39091 b,10.3,,,,,,2049.0,150.0,150.0,3.28,,,0.61,0.03,0.03,0.179039,,,,,,,,,,,,,,,,,,,,1,2001,2011-01-01,330.0,20.0,20.0,50073.0,150.0,150.0,detected by radial velocity,,,HD 39091,84.2875,-80.4688889,5.67,,,,,18.32,0.09,1.1,2.1,G1 IV,3.83,5888.0
HD 39194 b,0.0117,0.001,0.001,,,,5.6363,0.0008,0.0008,0.0519,0.0008,0.0008,0.2,0.1,0.1,0.002004,,,,,,,,,,,,,,,,,,,,2,2011,2011-09-12,,,,,,,detected by radial velocity,,,HD 39194,86.1333333,-70.1436111,8.08,,,,,25.9,,,,K0V,,
HD 39194 c,0.0187,0.00148,0.00148,,,,14.025,0.0051,0.0051,0.0954,0.0016,0.0016,0.11,0.006,0.006,0.003683,,,,,,,,,,,,,,,,,,,,2,2011,2011-09-12,,,,,,,detected by radial velocity,,,HD 39194,86.1333333,-70.1436111,8.08,,,,,25.9,,,,K0V,,
HD 39194 d,0.0162,0.0026,0.0026,,,,33.941,0.0353,0.0353,0.172,0.0029,0.0029,0.2,0.16,0.16,0.006641,,,,,,,,,,,,,,,,,,,,2,2011,2011-09-12,,,,,,,detected by radial velocity,,,HD 39194,86.1333333,-70.1436111,8.08,,,,,25.9,,,,K0V,,
HD 40307 b,0.0126,0.025,0.025,,,,4.3123,0.0012,0.0012,0.0468,0.0024,0.0024,0.2,0.16,0.14,0.003672,,,,,,,,,,,,,54562.77,0.08,0.08,,,,,1,2008,2014-05-21,194.0,60.0,60.0,,,,detected by radial velocity,,,HD 40307,88.5166667,-60.0233333,7.17,,5.41,4.97,4.79,12.8,-0.31,0.77,,K2.5V,,4977.0
HD 40307 c,0.0208,0.0035,0.0035,,,,9.6184,0.005,0.005,0.0799,0.004,0.004,0.06,0.06,0.11,0.006328,,,,,,,,,,,,,54551.53,0.15,0.15,,,,,1,2008,2014-05-21,234.0,,,,,,detected by radial velocity,,,HD 40307,88.5166667,-60.0233333,7.17,,5.41,4.97,4.79,12.8,-0.31,0.77,,K2.5V,,4977.0
HD 40307 d,0.0299,0.0022,0.0022,,,,20.432,0.024,0.024,0.1321,0.0034,0.0034,0.07,0.07,0.11,0.010469,,,,,,,,,,,,,54532.42,0.2,0.2,,,,,1,2008,2014-05-21,17.0,,,,,,detected by radial velocity,,,HD 40307,88.5166667,-60.0233333,7.17,,5.41,4.97,4.79,12.8,-0.31,0.77,,K2.5V,,4977.0
HD 40307 e,0.011,0.0044,0.0044,,,,34.62,0.21,0.21,0.1886,0.0104,0.0083,0.15,0.15,0.13,,,,,,,,,,,,,,,,,,,,,1,2012,2014-05-21,302.0,,,,,,detected by radial velocity,,,HD 40307,88.5166667,-60.0233333,7.17,,5.41,4.97,4.79,12.8,-0.31,0.77,,K2.5V,,4977.0
HD 40307 f,0.0164,0.005,0.005,,,,51.76,0.5,0.46,0.247,0.014,0.014,0.02,0.02,0.2,,,,,,,,,,,,,,,,,,,,,1,2012,2014-05-21,354.0,,,,,,detected by radial velocity,,,HD 40307,88.5166667,-60.0233333,7.17,,5.41,4.97,4.79,12.8,-0.31,0.77,,K2.5V,,4977.0
HD 40307 g,0.0223,0.0082,0.0082,,,,197.8,5.7,9.0,0.6,0.034,0.034,0.29,0.29,0.31,,,,,,,,,,,,,,,,,,,,,1,2012,2014-05-21,91.2,,,,,,detected by radial velocity,,,HD 40307,88.5166667,-60.0233333,7.17,,5.41,4.97,4.79,12.8,-0.31,0.77,,K2.5V,,4977.0
HD 40979 b,3.28,3.0,3.0,,,,263.1,3.0,3.0,0.83,,,0.25,0.05,0.05,0.024925,,,,,,,,,,,,,,,,,,,,1,2002,2010-12-20,310.7,8.0,8.0,2330.65,,,detected by radial velocity,,,HD 40979,91.1208333,44.2602778,6.74,,,,,33.3,0.194,1.1,1.21,F8 V,1.48,6205.0
HD 41004 A b,2.54,0.74,0.74,,,,963.0,38.0,38.0,1.64,,,0.39,0.17,0.17,0.038588,,,,,,,,,,,,,,,,,,,,1,2004,2012-11-21,97.0,31.0,31.0,2452425.0,0.74,0.74,detected by radial velocity,,,HD 41004 A,89.9541667,-48.2394444,8.65,,,,,42.5,-0.09,0.7,,K1 V,1.64,5035.0
HD 41004 B b,18.4,0.22,0.22,,,,1.3283,1.2e-05,1.2e-05,0.0177,,,0.081,0.012,0.012,0.000411,,,,,,,,,,,,,,,,,,,,1,2004,2013-07-03,178.5,7.8,7.8,2452434.88,0.0029,0.0029,detected by radial velocity,,,HD 41004 B,89.9583333,-48.2397222,12.33,,,,,43.03,-0.01,0.4,,M2,1.56,5035.0
HD 4113 b,1.56,0.04,0.04,,,,526.62,0.3,0.3,1.28,,,0.903,0.005,0.005,0.029091,,,,,,,,,,,,,,,,,,,,1,2007,2010-12-17,-42.3,1.9,1.9,3778.0,0.2,0.2,detected by radial velocity,,,HD 4113,10.8041667,-37.9825,7.88,,,,,44.0,0.2,0.99,,G5V,4.8,5688.0
HD 4203 b,1.82,0.05,0.05,,,,437.05,0.27,0.27,1.164,0.067,0.067,0.52,0.02,0.02,0.015019,,,,,,,,,,,,,,,,,,,,1,2001,2014-01-11,328.03,2.9,2.9,2451911.52,2.38,2.38,detected by radial velocity,,,HD 4203,11.1708333,20.4488889,8.68,,,,,77.5,0.453,1.13,1.33,G5,9.41,5701.0
HD 4203 c,2.17,0.52,0.52,,,,6700.0,4500.0,4500.0,,,,0.24,0.13,0.13,,,,,,,,,,,,,,,,,,,,,1,2014,2014-01-11,224.0,49.0,49.0,2456000.0,9600.0,9600.0,detected by radial velocity,,,HD 4203,11.1708333,20.4488889,8.68,,,,,77.5,0.453,1.13,1.33,G5,9.41,5701.0
HD 4208 b,0.8,,,,,,829.0,36.0,36.0,1.7,,,0.04,0.12,0.12,0.050147,,,,,,,,,,,,,,,,,,,,1,2001,2009-10-08,301.0,,,1774.0,197.0,197.0,detected by radial velocity,,,HD 4208,11.1083333,-26.5155556,7.79,,,,,33.9,-0.284,0.87,0.85,G5 V,4.47,5571.0
HD 4308 b,0.0405,0.005,0.005,,,,15.609,0.007,0.007,0.118,0.009,0.009,0.27,0.12,0.12,0.005388,,,,,,,,,,,,,,,,,,,,2,2005,2009-06-30,210.0,21.0,21.0,108.5,1.9,1.9,detected by radial velocity,,,HD 4308,11.1625,-65.6494444,6.54,,,,,21.9,-0.34,0.85,0.92,G5 V,7.1,5597.0
HD 4313 b,2.3,0.2,0.2,,,,356.0,2.6,2.6,1.19,0.03,0.03,0.041,0.037,0.037,0.008686,,,,,,,,,,,,,,,,,,,,2,2010,2010-03-19,76.0,80.0,80.0,2454804.0,80.0,80.0,detected by radial velocity,,,HD 4313,11.4166667,7.845,7.83,,,,,137.0,0.14,1.72,4.9,G5 D,2.0,5035.0
HD 43197 b,0.6,0.04,0.12,,,,327.8,1.2,1.2,0.92,0.02,0.02,0.83,0.01,0.01,0.016758,,,,,,,,,,,,,,,,,,,,2,2009,2010-09-08,251.0,12.0,12.0,4713.8,1.7,1.7,detected by radial velocity,,,HD 43197,93.4,-29.8972222,8.95,,,,,54.9,0.4,0.96,1.0,G8V,,5508.0
HD 43691 b,2.49,,,,,,36.96,0.02,0.02,0.24,,,0.14,0.02,0.02,0.002575,,,,,,,,,,,,,,,,,,,,1,2007,2007-11-27,290.0,5.0,5.0,54046.6,,,detected by radial velocity,,,HD 43691,94.8958333,41.0922222,8.03,,,,,93.2,0.28,1.38,,G0IV,2.8,6200.0
HD 44219 b,0.58,0.04,0.06,,,,472.3,5.0,5.0,1.19,0.02,0.02,0.61,0.09,0.09,0.023597,,,,,,,,,,,,,,,,,,,,2,2009,2010-09-08,147.4,3.2,3.2,4585.6,3.1,3.1,detected by radial velocity,,,HD 44219,95.0583333,-10.725,7.69,,,,,50.43,0.03,1.0,1.32,G2V,,5752.0
HD 45184 b,0.04,,,,,,5.8872,,,0.0638,,,0.3,,,0.002913,,,,,,,,,,,,,,,,,,,,2,2011,2011-09-12,,,,,,,detected by radial velocity,,,HD 45184,96.1833333,-28.78,6.37,,,,,21.9,,,,G1.5V,,
HD 45350 b,1.79,0.14,0.14,,,,890.76,37.42,37.42,1.92,0.067,0.067,0.778,0.009,0.009,0.039184,,,,,,,,,,,,,,,,,,,,1,2004,2010-12-22,343.4,2.3,2.3,2451825.3,7.1,7.1,detected by radial velocity,,,HD 45350,97.1875,38.9627778,7.88,,,,,49.0,0.29,1.02,1.27,G5 IV,5.59,5754.0
HD 45364 b,0.1872,,,,,,226.93,0.37,0.37,0.6813,,,0.1684,0.019,0.019,0.020899,,,,,,,,,,,,,,,,,,,,2,2009,2012-01-31,162.58,6.34,6.34,53500.0,,,detected by radial velocity,,,HD 45364,96.4083333,-31.4808333,8.08,,,,,32.6,-0.17,0.82,,K0V,,5434.0
HD 45364 c,0.6579,,,,,,342.85,0.28,0.28,0.8972,,,0.0974,0.012,0.012,0.027521,,,,,,,,,,,,,,,,,,,,2,2009,2012-01-31,7.41,4.3,4.3,53500.0,,,detected by radial velocity,,,HD 45364,96.4083333,-31.4808333,8.08,,,,,32.6,-0.17,0.82,,K0V,,5434.0
HD 45652 b,0.47,,,,,,43.6,0.2,0.2,0.23,,,0.38,0.06,0.06,0.006389,,,,,,,,,,,,,,,,,,,,1,2008,2008-10-14,273.0,12.0,12.0,2454120.3,1.2,1.2,detected by radial velocity,,,HD 45652,97.3041667,10.9338889,8.1,,,,,36.0,0.29,0.83,,G8-K0,,5312.0
HD 46375 b,0.249,0.03,0.03,,,,3.024,0.0005,0.0005,0.041,,,0.04,0.04,0.04,0.001228,,,,,,,,,,,,,,,,,,,,1,2000,2010-12-20,62.0,50.0,50.0,2451582.1,0.23,0.23,detected by radial velocity,,,HD 46375,98.3,5.4627778,7.94,,,,,33.4,0.24,0.91,1.0,K1 IV,4.96,5199.0
HD 47186 b,0.07167,,,,,,4.0845,0.0002,0.0002,0.05,,,0.038,0.02,0.02,0.001321,,,,,,,,,,,,,,,,,,,,3,2008,2013-05-20,59.0,32.0,32.0,54566.95,0.36,0.36,detected by radial velocity,,,HD 47186,99.0375,-27.6222222,7.8,,6.42,6.1,6.01,37.84,0.23,0.99,,G5V,,5675.0
HD 47186 c,0.35061,,,,,,1353.6,57.1,57.1,2.395,,,0.249,0.073,0.073,0.063293,,,,,,,,,,,,,,,,,,,,3,2008,2013-05-20,26.0,23.0,23.0,52010.0,180.0,180.0,detected by radial velocity,,,HD 47186,99.0375,-27.6222222,7.8,,6.42,6.1,6.01,37.84,0.23,0.99,,G5V,,5675.0
HD 47536 b,5.0,,,,,,430.0,,,1.61,,,0.2,0.08,0.08,0.013266,,,,,,,,,,,,,,,,,,,,1,2003,2012-08-10,260.8,23.7,23.7,2451599.36,21.5,21.5,detected by radial velocity,,,HD 47536,99.4458333,-32.3397222,5.25,,,,,121.36,-0.68,0.94,23.47,K1 III,9.33,4380.0
HD 47536 c,7.0,,,,,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2007,2012-08-10,,,,,,,detected by radial velocity,,,HD 47536,99.4458333,-32.3397222,5.25,,,,,121.36,-0.68,0.94,23.47,K1 III,9.33,4380.0
HD 48265 b,1.16,0.38,0.38,,,,700.0,8.0,8.0,1.51,,,0.18,0.13,0.13,0.017277,,,,,,,,,,,,,,,,,,,,1,2008,2009-05-20,309.0,27.0,27.0,4486.0,50.0,50.0,detected by radial velocity,,,HD 48265,100.0083333,-48.5419444,8.07,,,,,87.4,0.17,0.93,,G5V,,
HD 49674 b,0.115,0.016,0.016,,,,4.9437,0.0033,0.0033,0.058,0.0033,0.0033,0.23,0.15,0.15,0.001425,,,,,,,,,,,,,,,,,,,,1,2002,2010-12-22,283.0,,,11882.9,0.86,0.86,detected by radial velocity,,,HD 49674,102.875,40.8675,8.1,,,,,40.7,0.25,1.07,0.94,G5 V,2.38,5482.0
HD 50499 b,1.71,0.2,0.2,,,,2482.7,110.0,110.0,3.86,0.6,0.6,0.23,0.14,0.14,0.081676,,,,,,,,,,,,,,,,,,,,1,2005,2010-12-29,262.0,36.0,36.0,61234.6,225.0,225.0,detected by radial velocity,,,HD 50499,103.0083333,-33.9155556,7.22,,,,,47.26,0.23,1.27,1.38,G IV,6.0,5902.0
HD 50554 b,5.16,,,,,,1293.0,37.0,37.0,2.41,,,0.5,0.03,0.03,0.077667,,,,,,,,,,,,,,,,,,,,1,2002,2010-12-30,355.7,4.4,4.4,2451832.4,15.0,15.0,detected by radial velocity,,,HD 50554,103.675,24.2455556,6.86,,,,,31.03,-0.07,1.04,1.11,F8,4.58,5902.0
HD 51608 b,0.0413,0.0031,0.0031,,,,14.07,0.0037,0.0037,0.1059,0.0017,0.0017,0.15,0.06,0.06,0.003043,,,,,,,,,,,,,,,,,,,,2,2011,2011-09-12,,,,,,,detected by radial velocity,,,HD 51608,103.7125,-55.2594444,8.17,,,,,34.8,,,,K0IV,,
HD 51608 c,0.0565,0.0152,0.0152,,,,95.415,0.3908,0.3908,0.3791,0.0064,0.0064,0.41,0.18,0.18,0.010894,,,,,,,,,,,,,,,,,,,,2,2011,2011-09-12,,,,,,,detected by radial velocity,,,HD 51608,103.7125,-55.2594444,8.17,,,,,34.8,,,,K0IV,,
HD 52265 b,1.05,0.03,0.03,,,,119.6,0.4,0.4,0.5,,,0.35,0.03,0.03,0.017857,,,,,,,,,,,,,,,,,,,,1,2000,2013-07-04,211.0,6.0,6.0,51422.3,1.7,1.7,detected by radial velocity,,,HD 52265,105.075,-5.3669444,6.3,,,,,28.0,0.21,1.2,1.25,G0 V,4.88,6159.0
HD 52265 c,0.35,0.09,0.09,,,,59.9,0.2,0.2,0.316,0.003,0.003,0.05,0.1,0.1,,,,,,,,,,,,,,,,,,,,,1,2013,2013-07-04,358.0,35.0,35.0,,,,detected by radial velocity,,,HD 52265,105.075,-5.3669444,6.3,,,,,28.0,0.21,1.2,1.25,G0 V,4.88,6159.0
HD 5319 b,1.94,,,,,,675.0,17.0,17.0,1.75,,,0.12,0.08,0.08,0.0175,,,,,,,,,,,,,,,,,,,,3,2007,2007-10-31,76.0,35.0,35.0,13068.0,77.0,77.0,detected by radial velocity,,,HD 5319,13.7541667,0.7894444,8.05,,,,,100.0,0.15,1.56,3.26,G5IV,2.4,5052.0
HD 5608 b,1.4,,,,,,792.6,7.7,7.7,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2013-01-17,,,,2452327.0,61.0,61.0,detected by radial velocity,,,HD 5608,14.5583,33.9508,6.0,,,,,58.2,0.06,1.55,5.5,K0IV,,4854.0
HD 5891 b,7.6,0.4,0.4,,,,177.11,0.31,0.31,0.76,0.02,0.02,0.066,0.02,0.02,0.003028,,,,,,,,,,,,,,,,,,,,1,2011,2011-09-02,360.0,30.0,30.0,2455432.0,10.0,10.0,detected by radial velocity,,,HD 5891,15.1375,20.2925,8.25,,,,,251.0,-0.02,1.91,8.7,G5D,1.5,4907.0
HD 59686 b,5.25,,,,,,303.0,,,0.911,,,,,,0.009902,,,,,,,,,,,,,,,,,,,,2,2003,2012-08-10,,,,,,,detected by radial velocity,,,HD 59686,112.95,17.0858333,5.45,,,,,92.0,,,11.62,K2 III,,
HD 60532 b,3.15,,,,,,201.83,0.14,0.14,0.77,,,0.278,0.006,0.006,0.029961,20.0,0.0,0.0,,,,,,,,,,,,,,,,,1,2008,2012-01-31,352.83,1.05,1.05,54000.0,,,detected by radial velocity,,,HD 60532,113.5125,-22.2961111,4.45,,,,,25.7,-0.26,1.44,,F6IV-V,2.7,6095.0
HD 60532 c,7.46,,,,,,607.06,2.1,2.1,1.58,,,0.038,0.008,0.008,0.061479,20.0,0.0,0.0,,,,,,,,,,,,,,,,,1,2008,2012-01-31,119.49,9.14,9.14,54000.0,,,detected by radial velocity,,,HD 60532,113.5125,-22.2961111,4.45,,,,,25.7,-0.26,1.44,,F6IV-V,2.7,6095.0
HD 62509 b,2.9,0.1,0.1,,,,589.64,0.81,0.81,1.69,0.03,0.03,0.02,0.03,0.03,0.163443,,,,,,,,,,,,,,,,,,,,1,2006,2014-02-05,354.58,95.65,95.65,2447739.02,4.5,4.5,detected by radial velocity,,,HD 62509,116.325,28.0261111,1.15,,,,,10.34,0.19,1.47,9.3, K0IIIb,,4666.0
HD 63454 b,0.38,,,,,,2.818049,7.1e-05,7.1e-05,0.036,,,2e-05,0.022,0.022,0.001006,,,,,,,,,,,,,,,,,,,,1,2005,2011-06-01,87.3,90.5,90.5,2453342.87,0.59,0.59,detected by radial velocity,,,HD 63454,114.8375,-78.2788889,9.37,,,,,35.8,0.11,0.8,,K4 V,1.0,4841.0
HD 63765 b,0.64,0.05,0.05,,,,358.0,1.0,1.0,0.949,0.016,0.016,0.24,0.043,0.043,0.02911,,,,,,,,,,,,,,,,,,,,1,2009,2011-07-05,122.0,13.0,13.0,2454404.0,11.0,11.0,detected by radial velocity,,,HD 63765,116.9583333,-54.2641667,8.1,,,,,32.6,-0.16,0.865,,G9V,4.77,5432.0
HD 6434 b,0.39,,,,,,21.998,0.0009,0.0009,0.14,,,0.17,0.03,0.03,0.003472,,,,,,,,,,,,,,,,,,,,1,2000,2010-12-30,156.0,11.0,11.0,51490.8,0.6,0.6,detected by radial velocity,,,HD 6434,16.1666667,-39.4880556,7.72,,,,,40.32,-0.52,0.79,0.57,G3 IV,3.8,5835.0
HD 65216 b,1.26,0.04,0.04,,,,572.4,0.21,0.21,1.3,0.03,0.03,0.41,0.06,0.06,0.039942,,,,,,,,,,,,,,,,,,,,1,2003,2014-01-26,198.0,6.0,6.0,50762.0,25.0,25.0,detected by radial velocity,,,HD 65216,118.4208333,-63.6472222,7.98,,,,,34.3,-0.12,0.92,,G5 V,,5666.0
HD 65216 c,0.17,0.03,0.03,,,,152.6,0.6,0.6,0.54,0.01,0.01,0.02,0.1,0.1,,,,,,,,,,,,,,,,,,,,,2,2011,2014-01-26,0.0,54.0,54.0,,,,detected by radial velocity,,,HD 65216,118.4208333,-63.6472222,7.98,,,,,34.3,-0.12,0.92,,G5 V,,5666.0
HD 66141 b,6.0,0.3,0.3,,,,480.5,0.5,0.5,1.2,0.1,0.1,0.07,0.03,0.03,,,,,,,,,,,,,,,,,,,,,1,2012,2012-11-12,22.1,3.5,3.5,2451320.8,4.8,4.8,detected by radial velocity,,,HD 66141,120.5667,2.3344,4.39,,,,,80.9,-0.32,1.1,21.4,K2III,6.84,4305.0
HD 66428 b,2.82,0.027,0.027,,,,1973.0,31.0,31.0,3.18,0.19,0.19,0.465,0.03,0.03,0.057818,,,,,,,,,,,,,12139.0,16.0,16.0,,,,,1,2006,2006-07-15,152.9,3.9,3.9,,,,detected by radial velocity,,,HD 66428,120.8666667,-1.1625,8.25,,,,,55.0,0.31,1.14552,,G5,5.56,5752.0
HD 6718 b,1.56,0.1,0.11,,,,2496.0,176.0,176.0,3.56,0.15,0.15,0.1,0.04,0.04,0.063685,,,,,,,,,,,,,,,,,,,,2,2009,2010-09-08,286.0,35.0,35.0,4357.0,251.0,251.0,detected by radial velocity,,,HD 6718,16.9541667,-8.2336111,8.45,,,,,55.9,-0.06,0.96,1.02,G5V,,5745.0
HD 68988 b,1.9,,,,,,6.276,0.002,0.002,0.071,,,0.14,0.003,0.003,0.001224,,,,,,,,,,,,,,,,,,,,1,2001,2010-12-30,186.0,8.0,8.0,1913.0,0.2,0.2,detected by radial velocity,,,HD 68988,124.5916667,61.4605556,8.21,,,,,58.0,0.24,1.2,1.14,G0,6.78,5767.0
HD 69830 b,0.033,,,,,,8.667,0.003,0.003,0.0785,,,0.1,0.04,0.04,0.00623,13.0,13.0,13.0,,,,,,,,,,,,,,,,,1,2006,2012-01-31,340.0,26.0,26.0,2453496.8,0.06,0.06,detected by radial velocity,,,HD 69830,124.5958333,-12.6319444,5.95,,,,,12.6,-0.05,0.86,0.895,K0V,7.0,5385.0
HD 69830 c,0.038,,,,,,31.56,0.04,0.04,0.186,,,0.13,0.06,0.06,0.014762,13.0,13.0,13.0,,,,,,,,,,,,,,,,,1,2006,2010-10-19,221.0,35.0,35.0,2453469.6,2.8,2.8,detected by radial velocity,,,HD 69830,124.5958333,-12.6319444,5.95,,,,,12.6,-0.05,0.86,0.895,K0V,7.0,5385.0
HD 69830 d,0.058,,,,,,197.0,3.0,3.0,0.63,,,0.07,0.07,0.07,0.05,13.0,13.0,13.0,,,,,,,,,,,,,,,,,1,2006,2010-10-19,224.0,61.0,61.0,2453358.0,34.0,34.0,detected by radial velocity,,,HD 69830,124.5958333,-12.6319444,5.95,,,,,12.6,-0.05,0.86,0.895,K0V,7.0,5385.0
HD 70573 b,6.1,0.4,0.4,,,,851.8,11.6,11.6,1.76,0.05,0.05,0.4,0.1,0.1,0.038512,,,,,,,,,,,,,,,,,,,,1,2007,2008-01-18,269.6,14.3,14.3,2106.54,25.72,25.72,detected by radial velocity,,,HD 70573,125.7083333,1.8594444,8.7,,,,,45.7,-0.18,1.0,,G1-1.5V,0.101,5737.0
HD 70642 b,2.0,,,,,,2231.0,400.0,400.0,3.3,,,0.1,0.06,0.06,0.114583,,,,,,,,,,,,,,,,,,,,1,2003,2011-01-01,277.0,75.0,75.0,2451749.0,300.0,300.0,detected by radial velocity,,,HD 70642,125.3666667,-39.7052778,7.17,,,,,28.8,0.16,1.0,0.84,G5 IV-V,3.88,5670.0
HD 7199 b,0.29,0.023,0.023,,,,615.0,7.0,7.0,1.36,0.02,0.02,0.19,0.13,0.13,0.037778,,,,,,,,,,,,,,,,,,,,1,2011,2011-08-02,155.0,64.0,64.0,2455030.0,277.0,277.0,detected by radial velocity,,,HD 7199,17.6958333,-66.1880556,8.06,,,,,36.0,0.28,0.89,0.96,KOIV/V,6.79,5386.0
HD 72659 b,3.15,0.14,0.14,,,,3658.0,32.0,32.0,4.74,0.08,0.08,0.22,0.03,0.03,0.095181,,,,,,,,,,,,,,,,,,,,1,2002,2010-12-20,-99.3,6.5,6.5,55351.0,59.0,59.0,detected by radial velocity,,,HD 72659,128.5125,-1.5680556,7.46,,,,,49.8,-0.02,0.95,1.36,G2 V,6.5,5926.0
HD 73256 b,1.87,0.49,0.49,,,,2.54858,0.00016,0.00016,0.037,,,0.029,0.02,0.02,0.001014,,,,,,,,,,,,,,,,,,,,1,2003,2010-12-23,337.3,45.8,45.8,52500.18,0.28,0.28,detected by radial velocity,,,HD 73256,129.0958333,-30.0375,8.08,,,,,36.5,0.29,1.05,0.89,G8/K0,0.83,5570.0
HD 73267 b,3.06,0.07,0.07,,,,1260.0,7.0,7.0,2.198,0.025,0.025,0.256,0.009,0.009,0.040029,,,,,,,,,,,,,,,,,,,,1,2008,2008-10-28,229.1,1.8,1.8,51821.7,16.0,16.0,detected by radial velocity,,,HD 73267,129.075,-34.46,8.9,,,,,54.91,0.03,0.89,1.04,G5V,7.4,5317.0
HD 73526 b,2.9,0.2,0.2,,,,188.3,0.9,0.9,0.66,0.05,0.05,0.19,0.05,0.05,0.006667,,,,,,,,,,,,,,,,,,,,1,2002,2010-12-22,203.0,9.0,9.0,1212.1302,,,detected by radial velocity,,,HD 73526,129.3166667,-41.3188889,9.0,,,,,99.0,0.25,1.08,1.49,G6 V,5.59,5590.0
HD 73526 c,2.5,0.3,0.3,,,,377.8,2.4,2.4,1.05,0.08,0.08,0.14,0.09,0.09,0.010606,,,,,,,,,,,,,,,,,,,,1,2006,2010-12-22,13.0,76.0,76.0,1212.1302,,,detected by radial velocity,,,HD 73526,129.3166667,-41.3188889,9.0,,,,,99.0,0.25,1.08,1.49,G6 V,5.59,5590.0
HD 73534 b,1.15,,,,,,1800.0,110.0,110.0,3.15,,,0.046,0.08,0.08,0.032478,,,,,,,,,,,,,,,,,,,,1,2009,2009-08-13,59.0,92.0,92.0,2453120.0,830.0,830.0,detected by radial velocity,,,HD 73534,129.8166667,12.9602778,8.24,,,,,96.99,0.16,1.29,2.65,G5IV,,4952.0
