# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, temp_calculated, temp_measured, hot_point_lon, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, alternate_names, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff
BD-082823 c,0.33,0.03,0.03,,,,237.6,1.5,1.5,0.68,0.02,0.02,0.19,0.09,0.09,0.016114,,,,,,,,,,,,,,,,,,,,2,2009,2009-12-16,-233.0,21.0,21.0,2454193.0,13.0,13.0,detected by radial velocity,,,BD-082823,150.2,-9.5166667,9.86,,,,,42.2,-0.07,0.74,,K3V,4.5,4746.0
BD-10 3166 b,0.48,0.03,0.03,,,,3.487,0.001,0.001,0.046,,,0.05,0.05,0.05,0.000697,,,,,,,,,,,,,,,,,,,,1,2000,2010-12-25,35.0,20.0,20.0,1586.8,0.06,0.06,detected by radial velocity,,,BD-10 3166,164.6166667,-10.7702778,10.08,,,,,66.0,0.5,0.99,1.71,G4 V,4.18,5400.0
BD-17 63 b,5.1,0.12,0.12,,,,655.6,0.6,0.6,1.34,0.02,0.02,0.54,0.005,0.005,0.038728,,,,,,,,,,,,,,,,,,,,1,2008,2008-10-28,112.2,1.9,1.9,54627.1,1.5,1.5,detected by radial velocity,,,BD-17 63,7.1416667,-16.2263889,9.62,,,,,34.6,-0.03,0.74,0.69,K5V,4.3,4714.0
BD14 4559 b,1.47,,,,,,268.94,0.99,0.99,0.777,,,0.29,0.03,0.03,0.01554,,,,,,,,,,,,,,,,,,,,1,2009,2009-06-10,87.64,7.87,7.87,53293.71,6.35,6.35,detected by radial velocity,,,BD14 4559,318.4,14.6894444,9.63,,,,,50.0,0.1,0.86,,K2V,,5008.0
BD20 2457 b,21.42,,,,,,379.63,2.01,2.01,1.45,,,0.15,0.03,0.03,0.00725,,,,,,,,,,,,,,,,,,,,1,2009,2014-01-14,207.64,21.99,21.99,54677.03,28.19,28.19,detected by radial velocity,,,BD20 2457,154.1875,19.8913889,9.75,,,,,200.0,-1.0,2.8,,K2II,,4127.0
BD20 2457 c,12.47,,,,,,621.99,10.2,10.2,2.01,,,0.18,0.06,0.06,0.01005,,,,,,,,,,,,,,,,,,,,1,2009,2009-06-10,126.02,16.54,16.54,53866.95,27.99,27.99,detected by radial velocity,,,BD20 2457,154.1875,19.8913889,9.75,,,,,200.0,-1.0,2.8,,K2II,,4127.0
CD-35 2722 b,31.0,8.0,8.0,,,,,,,67.0,4.0,4.0,,,,3.14554,,,,,,,,,,,,,,,,,,,,1,2011,2011-02-23,,,,,,,detected by imaging,,,CD-35 2722,0.0,0.0,10.98,,,,,21.3,0.04,0.4,,M1V,0.1,3680.0
CFBDS 1458 b,6.5,4.5,4.5,,,,14600.0,8800.0,8800.0,2.6,0.2,0.2,,,,0.112554,,,,,,,,,,,,,,,,,,,,1,2011,2011-09-28,,,,,,,detected by imaging,,,CFBDS 1458,224.6208333,10.2286111,,,19.86,20.18,20.63,23.1,,0.024,,T9.5,3.0,540.0
CHXR 73 b,12.0,5.0,8.0,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,2006,2011-03-08,,,,,,,detected by imaging,,,CHXR 73,166.6208333,-77.6258333,,,,11.32,,,,0.35,,M3.25,0.002,
CT Cha b,17.0,6.0,6.0,2.2,0.6,0.6,,,,440.0,,,,,,2.666667,,,,,,,,,,,,,,,,,,,,1,2008,2008-09-24,,,,,,,detected by imaging,,,CT Cha,166.0375,-76.4552778,12.36,,,,,165.0,,,,K7,0.002,
CoRoT-1 b,1.03,0.12,0.12,1.49,0.08,0.08,1.5089557,6.4e-06,6.4e-06,0.0254,0.0004,0.0004,0.0,,,5.5e-05,85.1,0.5,0.5,2454159.4532,,,,,,,,,,,,,,,,1,2007,2014-01-24,,,,,,,detected by transit,,,CoRoT-1,102.0791667,-3.1022222,13.6,,,,,460.0,0.06,0.95,1.11,G0V,,6298.0
